Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_31,dip_x_1,dip_y_1,dip_z_1,Total_1,-30-31-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(4, 34)","Dist(31, 36)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
3,-0.23667,-0.19681,-0.14106,-0.24308,-0.29562,-0.02547,0.25199,1.04153,-0.76269,0.55829,-0.31122,-1.28461,-0.39305,-0.80137,-0.865,-2.9212,1.3933,3.35,3400.9914,1.933790208,1.470022328,1.961718373,2.602608567,1.691624941,293.079,114.897,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,94,1.765869052
7,-0.24163,0.00259,-0.12822,-0.23935,-0.30225,-0.22762,0.25155,1.04082,-0.76204,0.55919,-0.31153,-1.28017,-0.37977,-0.79854,-0.684,-3.0451,1.6131,3.5132,3436.8034,1.922850122,1.483227669,1.965640637,2.637593017,1.708953999,289.655,109.658,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,97,2.230876365
8,-0.24536,-0.20933,-0.12644,-0.24146,-0.29276,-0.23853,0.2552,1.03822,-0.76227,0.55967,-0.3114,-1.27968,-0.38164,-0.80113,-0.8973,-2.7519,1.4827,3.2521,3430.8524,1.918067003,1.484710308,1.963212662,2.718627965,1.704911623,289.511,104.162,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,94,1.765869052
2,-0.32968,-0.1789,-0.16393,-0.24179,-0.34297,0.34858,0.25487,1.04506,-0.76227,0.55656,-0.31149,-1.28685,-0.4188,-0.79835,-1.6896,-2.9564,1.3709,3.6708,3392.2695,1.936202217,1.466040341,1.962804225,2.558144033,1.690289114,300.414,129.46,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,95,1.889669976
4,-0.21714,-0.21188,-0.11754,-0.23169,-0.2252,-0.16188,0.24232,1.03721,-0.76934,0.56219,-0.31079,-1.2689,-0.35986,-0.79388,0.0083,-8.4145,1.7241,8.5893,3293.3847,1.925146611,1.472629871,1.968397413,4.335895224,1.657770663,288.972,121.981,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,95,1.889669976
1,-0.23944,-0.20479,-0.13035,-0.25234,-0.2946,-0.23604,0.25166,1.04087,-0.76232,0.55798,-0.31148,-1.29321,-0.38201,-0.81032,-0.9776,-2.9338,1.4294,3.4068,3406.906,1.934279231,1.472355067,1.962818495,2.650974754,1.693128071,278.176,105.149,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,94,1.765869052
9,-0.21418,-0.05407,-0.09651,-0.2572,-0.2946,-0.23487,0.24276,1.04392,-0.76242,0.55566,-0.31112,-1.30112,-0.33927,-0.81286,-0.4901,-2.7058,1.2532,3.022,3396.7967,1.949206454,1.430377945,1.964580563,2.667833811,1.694802354,298.4,134.94,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,96.5,2.128629495
30,-0.23736,-0.20461,-0.15185,-0.25274,-0.29327,-0.23294,0.07853,1.03674,-0.76101,0.55651,-0.31151,-1.28948,-0.23038,-0.80925,-0.1702,-2.138,1.3074,2.5118,3414.4969,1.951587162,1.458648427,1.96437119,2.681279475,1.700544237,273.143,99.6345,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,84.5,1.088395136
33,-0.22752,-0.25097,0.10944,-0.29619,-0.27676,-0.26054,-0.14529,1.01287,-0.7592,0.55818,-0.31242,-1.30906,0.25473,-0.85437,-1.0773,-1.9914,1.1859,2.5558,3439.3848,1.945754524,1.424067534,1.966975011,2.759305588,1.70716066,261.94,91.1758,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,94,1.765869052
29,-0.23281,-0.25647,0.25364,-0.33556,-0.28793,-0.26146,-0.51593,1.04003,-0.78061,0.5563,-0.29994,-1.37559,0.76957,-0.89186,1.3872,-2.259,2.8612,3.9005,3312.7689,1.918292734,1.399775967,1.983391998,2.565860046,1.653516036,276.194,82.1617,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,29,-0.574635903
28,-0.24113,-0.20395,-0.13312,-0.24504,-0.29573,-0.2365,0.27967,1.05787,-0.77293,0.55559,-0.30771,-1.30291,-0.41279,-0.80063,-0.5983,-1.7635,1.5959,2.4526,3412.8948,1.926902032,1.472239691,1.97624414,2.661990832,1.695044673,324.016,154.245,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,65.5,0.411436637
5,-0.2075,-0.2055,-0.10746,-0.25569,-0.25526,-0.16868,0.24593,1.03798,-0.76193,0.55654,-0.3116,-1.29367,-0.35339,-0.81223,-1.9462,-6.6649,1.4631,7.0957,3406.8015,1.933886878,1.473878945,1.964134424,2.629216932,1.694177501,295.391,126.667,1.7,3.23,6.29,3.85,1.7,3.17,7.8,4.09,95,1.889669976
41,-0.24731,-0.19382,-0.15515,-0.24441,-0.31666,-0.12888,0.50614,1.04806,-0.76193,0.54807,-0.30734,-1.29247,-0.66129,-0.79248,-0.0589,-4.3958,1.5305,4.655,3395.9408,1.959815168,1.460912712,1.97813878,2.573675167,1.714113784,392.82,168.209,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,70,0.543775347
35,-0.22408,-0.24205,0.09842,-0.28804,-0.27901,-0.04993,-0.14409,1.01323,-0.75994,0.5587,-0.3123,-1.30127,0.24251,-0.84674,-0.9603,-2.0512,1.1267,2.5296,3432.6438,1.945740545,1.424207767,1.965355719,2.694664446,1.703180033,275.773,98.06,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,95,1.889669976
43,-0.2409,-0.20747,-0.12213,-0.25737,-0.29786,-0.24796,0.20885,1.04009,-0.76423,0.5604,-0.30887,-1.29746,-0.33098,-0.81777,-0.4821,-4.8063,0.5906,4.8664,3380.3458,1.95318163,1.4635243,1.957689447,2.634952191,1.683702716,282.316,99.654,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,58.5,0.220343055
40,-0.22808,-0.04372,0.11466,-0.28685,-0.28403,-0.25098,-0.14611,1.01424,-0.75862,0.55823,-0.31244,-1.30109,0.26077,-0.84508,-0.9334,-2.078,1.2422,2.5948,3451.9133,1.938173235,1.434968536,1.968779359,2.725914623,1.713534779,273.512,97.0935,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,84.5,1.088395136
