Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_31,dip_x_1,dip_y_1,dip_z_1,Total_1,-30-31-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(4, 34)","Dist(31, 36)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
3,-0.23221,-0.19674,-0.14283,-0.23257,-0.29857,-0.01474,0.25314,0.99873,-0.93324,0.55195,0.52553,-1.2313,-0.39597,-0.78452,-0.2799,-2.916,1.7066,3.3903,3199.3644,1.927833809,1.4696807,1.970331342,2.478317055,1.628055991,282.803,124.217,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,94,1.765869052
7,-0.2368,0.00338,-0.12955,-0.22792,-0.30613,-0.21753,0.25145,0.9968,-0.93295,0.55332,0.52556,-1.22472,-0.381,-0.78124,-0.115,-2.9813,1.8529,3.5121,3235.0047,1.91669284,1.483071264,1.971797186,2.513161031,1.637564383,279.535,116.847,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,97,2.230876365
8,-0.23769,-0.20829,-0.1294,-0.23366,-0.29966,-0.22493,0.25612,0.99727,-0.93391,0.5521,0.52551,-1.23093,-0.38552,-0.78576,-0.2742,-2.6694,1.7575,3.2078,3204.0499,1.914608122,1.483609856,1.970977746,2.520375851,1.62853946,279.106,113.388,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,94,1.765869052
2,-0.32694,-0.17852,-0.16542,-0.22968,-0.34378,0.35638,0.25503,1.00086,-0.93331,0.55142,0.52547,-1.23054,-0.42045,-0.7811,-1.0812,-2.9727,1.6367,3.5616,3190.9221,1.928862084,1.465850364,1.969832464,2.452898375,1.624683232,290.281,137.373,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,95,1.889669976
4,-0.21402,-0.19782,-0.11644,-0.23442,-0.27709,-0.15583,0.24818,0.99304,-0.93371,0.55266,0.52691,-1.22746,-0.36462,-0.78708,0.8755,-8.5575,1.6834,8.7654,3213.0898,1.925135184,1.473713843,1.971118949,2.584091908,1.631629593,280.165,120.941,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,95,1.889669976
1,-0.23576,-0.20412,-0.13348,-0.24264,-0.29792,-0.22481,0.25158,0.99696,-0.93285,0.55255,0.52572,-1.2396,-0.38506,-0.79519,-0.3939,-2.9163,1.6961,3.3966,3208.1123,1.927766159,1.472157289,1.970348648,2.492748755,1.629559276,268.077,112.584,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,94,1.765869052
9,-0.2118,-0.05318,-0.09946,-0.24644,-0.29482,-0.22562,0.24294,0.99957,-0.93342,0.55108,0.52568,-1.24601,-0.3424,-0.79752,0.1429,-2.7243,1.4646,3.0963,3191.3973,1.942288917,1.429662758,1.971460098,2.528865718,1.628968314,288.678,141.71,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,96.5,2.128629495
30,-0.23354,-0.20449,-0.15547,-0.24335,-0.29594,-0.22082,0.07833,0.99384,-0.93153,0.55115,0.52652,-1.23719,-0.2338,-0.7945,0.4163,-2.1082,1.5845,2.67,3201.9154,1.946073608,1.458320512,1.971352095,2.524243887,1.630945088,263.324,107.825,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,84.5,1.088395136
33,-0.22225,-0.25176,0.10483,-0.29022,-0.28227,-0.24446,-0.1451,0.97323,-0.9296,0.55092,0.526,-1.26345,0.24993,-0.84114,-0.4895,-2.0409,1.4582,2.5556,3211.7954,1.941976292,1.422938359,1.975032778,2.534565276,1.633473664,251.908,99.8557,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,94,1.765869052
29,-0.2316,-0.25511,0.25472,-0.32677,-0.29239,-0.2573,-0.51869,1.00277,-0.94168,0.52383,0.55634,-1.32954,0.77341,-0.8506,1.6262,-2.469,3.0069,4.2169,3837.9252,1.914227549,1.40168827,1.978464924,2.522003395,3.021874076,265.665,86.6721,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,29,-0.574635903
28,-0.23824,-0.20174,-0.13473,-0.24006,-0.30117,-0.22638,0.28191,1.02015,-0.93544,0.55504,0.52356,-1.26021,-0.41664,-0.7951,-0.537,-1.9968,1.6353,2.6362,3269.7491,1.923739626,1.47263796,1.975540488,2.53398974,1.651641208,313.694,159.333,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,65.5,0.411436637
5,-0.20404,-0.2053,-0.10979,-0.24478,-0.25642,-0.1587,0.24626,0.99441,-0.93338,0.55126,0.52676,-1.23919,-0.35605,-0.79604,-1.3274,-6.688,1.7526,7.0401,3211.0814,1.927045491,1.473599753,1.971420567,2.496721206,1.631593091,285.32,134.746,1.7,3.23,6.29,3.85,1.7,3.17,7.8,4.09,95,1.889669976
41,-0.24616,-0.19394,-0.15521,-0.23869,-0.31584,-0.12348,0.50774,1.00469,-0.92825,0.54907,0.52624,-1.24338,-0.66295,-0.78776,0.3081,-4.5111,1.5916,4.7935,3305.3635,1.953826613,1.462386817,1.988608491,2.486490325,1.695382597,382.965,170.11,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,70,0.543775347
35,-0.21867,-0.24406,0.09561,-0.28201,-0.28261,-0.03555,-0.14321,0.97457,-0.92963,0.55096,0.52578,-1.25658,0.23882,-0.83297,-0.3713,-2.1337,1.4276,2.5939,3211.5027,1.941942285,1.422895141,1.974613117,2.505797935,1.632974515,265.794,107.996,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,95,1.889669976
43,-0.23721,-0.2058,-0.12515,-0.24962,-0.3017,-0.23532,0.21691,0.99334,-0.93469,0.55471,0.5221,-1.24296,-0.34206,-0.80433,-0.1663,-4.6504,2.9895,5.5309,3219.6399,1.939245716,1.46598673,1.972003894,2.465974507,1.636626922,271.93,101.123,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,58.5,0.220343055
40,-0.22202,-0.0437,0.11065,-0.27963,-0.28921,-0.23744,-0.14617,0.97305,-0.92905,0.55173,0.52575,-1.25268,0.25682,-0.83136,-0.3034,-2.1011,1.4791,2.5873,3232.8701,1.933580003,1.433846127,1.976504457,2.520377069,1.639649656,263.533,104.828,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,84.5,1.088395136
27,-0.23621,-0.19642,-0.14395,-0.23817,-0.29777,-0.21569,0.28093,0.98891,-0.93279,0.55191,0.52727,-1.22708,-0.42488,-0.79008,-0.5121,-0.0766,1.2137,1.3195,3212.828,1.93280204,1.466922267,1.971492188,2.513864,1.630978,263.412,108.19,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,41.5,-0.220343055
32,-0.21651,-0.18667,-0.17001,-0.23806,-0.27118,-0.14019,0.68667,0.99494,-0.9332,0.54738,0.52744,-1.233,-0.85668,-0.78544,1.7685,-8.1508,1.9875,8.5739,3199.2938,1.952891791,1.458032647,1.979073762,2.557475,1.638239,261.267,99.1165,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,11,-1.341787249
