Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_31,dip_x_1,dip_y_1,dip_z_1,Total_1,-30-31-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(4, 34)","Dist(31, 36)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.24924,-0.1947,-0.17117,-0.24311,-0.2899,-0.23377,0.18998,1.0433,-0.76964,0.55918,-0.3101,-1.28641,-0.36115,-0.80229,-0.7883,-0.4701,1.3751,1.6533,3458.5815,1.941745191,1.452221535,1.970681972,2.859970786,1.715784618,303.915,120.162,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.25876,-0.18205,-0.17645,-0.23635,-0.30873,-0.05804,0.18819,1.04509,-0.77071,0.55741,-0.31057,-1.28144,-0.36464,-0.79376,0.0675,-3.5693,1.4251,3.844,3440.1336,1.945166925,1.450908205,1.970751741,2.813578545,1.706860371,319.733,154.846,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.2613,-0.19026,-0.17548,-0.22374,-0.26909,-0.10512,0.18275,1.03925,-0.77286,0.56283,-0.31033,-1.26299,-0.35823,-0.78657,-0.0601,-4.9561,1.7612,5.26,3392.305,1.934616085,1.449546422,1.982450711,4.450527107,1.694687079,326.289,173.844,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.23377,-0.18377,-0.17182,-0.2275,-0.27951,-0.04116,0.1882,1.04146,-0.76773,0.56007,-0.3088,-1.26896,-0.36002,-0.78757,0.1476,-2.7892,1.705,3.2723,3481.3867,1.938347469,1.447912969,1.971609656,3.062301082,1.731151092,382.957,247.768,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.33822,-0.16735,-0.20517,-0.23536,-0.34379,0.35752,0.18637,1.04994,-0.77066,0.55669,-0.31043,-1.2853,-0.39154,-0.79205,-1.6715,-0.2397,1.3229,2.1451,3438.1409,1.945281122,1.443495799,1.969679572,2.672060372,1.70630469,327.807,162.618,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.2862,-0.18406,-0.2204,-0.23824,-0.30778,0.20544,0.17999,1.0445,-0.7769,0.55627,-0.3113,-1.28274,-0.40039,-0.79451,-0.3887,-4.6597,1.2314,4.8353,3349.7518,1.943195052,1.443447753,1.970379576,2.577576409,1.674169375,353.881,220.499,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.21711,-0.20249,-0.12273,-0.24915,-0.26586,-0.09853,0.24935,1.04036,-0.76254,0.55688,-0.31146,-1.28951,-0.37208,-0.80603,-1.1399,-7.809,1.6626,8.065,3398.0067,1.929821758,1.470673469,1.964247987,2.618028661,1.691014711,386.525,254.774,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.23319,-0.18881,-0.17302,-0.23508,-0.27238,-0.05347,0.18668,1.0423,-0.76932,0.55834,-0.30954,-1.27738,-0.3597,-0.79342,-1.1068,-1.556,2.0238,2.7824,3451.959,1.934035947,1.449996792,1.970088338,2.751739077,1.713217594,378.027,242.959,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.02178,-0.00241,-0.16341,-0.23553,-0.29389,-0.03485,0.18456,1.05383,-0.77353,0.55412,-0.31089,-1.28936,-0.34797,-0.78965,0.8554,-1.7156,1.4091,2.3793,3392.5679,1.941469822,1.444326194,1.973881875,2.734320939,1.695077557,451.141,365.386,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.02175,-0.0167,-0.03043,-0.27437,-0.27033,-0.07918,-0.1369,1.09314,-0.78872,0.55822,-0.30124,-1.36751,0.10647,-0.83259,1.007,-1.1933,1.4254,2.1141,3436.7457,1.927268653,1.417085694,1.984064092,2.497229525,1.717855394,434.922,261.088,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
