Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_31,dip_x_1,dip_y_1,dip_z_1,Total_1,-30-31-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(4, 34)","Dist(31, 36)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.24079,-0.19276,-0.17816,-0.24281,-0.30106,-0.20899,0.19612,1.01204,-0.93936,0.55063,0.5259,-1.25485,-0.37428,-0.79344,-0.4985,-0.5792,1.4602,1.6481,3174.6914,1.94110173,1.452758094,1.971316487,2.504909502,1.618839074,293.066,126.218,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.25323,-0.18121,-0.18205,-0.23432,-0.31356,-0.03759,0.19421,1.0127,-0.94068,0.55003,0.52685,-1.24702,-0.37626,-0.78435,0.3957,-3.7437,1.5164,4.0585,3163.1985,1.942758947,1.451591818,1.971881102,2.51713195,1.616712049,309.08,160.701,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.2517,-0.18114,-0.18038,-0.23215,-0.31313,-0.11516,0.19394,1.01205,-0.94034,0.55051,0.52671,-1.2442,-0.37432,-0.78266,0.943,-5.1801,1.5698,5.4943,3169.9727,1.940736448,1.451773748,1.971376792,2.529489161,1.617314492,317.722,173.342,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.23003,-0.18579,-0.18323,-0.22932,-0.29255,-0.01095,0.19428,1.01352,-0.93896,0.55122,0.52555,-1.24284,-0.37751,-0.78054,0.5434,-3.1977,1.7079,3.6657,3185.1469,1.938658526,1.449010393,1.970786768,2.535160691,1.621431323,372.083,251.563,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.33402,-0.16631,-0.20842,-0.23132,-0.34515,0.3735,0.19257,1.01651,-0.93976,0.54955,0.52569,-1.24783,-0.40099,-0.78087,-1.3738,-0.3948,1.4199,2.0148,3163.9946,1.941902879,1.443719712,1.971595576,2.462925934,1.616486109,317.092,168.709,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.28511,-0.16998,-0.20403,-0.23025,-0.32947,0.20428,0.19134,1.0168,-0.94038,0.54954,0.52638,-1.24705,-0.39537,-0.77979,0.3394,-5.1076,1.3047,5.2825,3156.596,1.944018475,1.444246619,1.971424978,2.457221765,1.613953459,342.963,214.67,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.21379,-0.20237,-0.12508,-0.23838,-0.2668,-0.08949,0.24951,0.9962,-0.93308,0.55159,0.52557,-1.23458,-0.37459,-0.78997,-0.5687,-8.0332,1.8947,8.2733,3207.7562,1.923746734,1.470532989,1.970860789,2.490764836,1.630076768,376.611,262.041,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.22743,-0.18862,-0.17801,-0.2338,-0.27634,-0.03346,0.19329,1.01077,-0.93867,0.55103,0.5254,-1.24457,-0.3713,-0.78483,-0.7785,-1.8839,2.1215,2.9421,3197.7958,1.931716254,1.450768014,1.971547863,2.477110684,1.624812397,367.746,251.189,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.01903,-0.00292,-0.16661,-0.22953,-0.29096,-0.01961,0.18945,1.01862,-0.94294,0.54835,0.52525,-1.24815,-0.35606,-0.77788,1.3538,-1.9136,1.4587,2.7609,3134.7143,1.937968281,1.444841262,1.976886323,2.546842811,1.619057464,440.744,372.024,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.01718,-0.01156,-0.02718,-0.26619,-0.26221,-0.07528,-0.14502,1.05842,-0.94818,0.55504,0.52516,-1.32461,0.11784,-0.82123,1.5881,-1.6116,1.1364,2.5319,3294.1038,1.935195437,1.417017339,1.983620074,2.703434089,1.669313566,422.281,302.238,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
28,-0.23828,-0.20173,-0.13471,-0.23999,-0.30112,-0.22648,0.28189,1.02007,-0.93539,0.55506,0.52356,-1.26006,-0.4166,-0.79505,-0.5416,-1.9998,1.6338,2.6386,3269.9839,1.923743254,1.472609352,1.975479389,2.535826472,1.651759447,313.696,159.362,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,88.5,1.512280624
