Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_31,dip_x_1,dip_y_1,dip_z_1,Total_1,-30-31-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(4, 34)","Dist(31, 36)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
57,-0.23966,-0.20647,-0.19298,-0.25652,-0.29355,-0.22085,0.7357,1.05362,-0.76095,0.55351,-0.31412,-1.31014,-0.92868,-0.81003,-3.3496,-1.6415,1.2442,3.9322,3439.9178,1.942222005,1.479392342,1.961954657,2.635625642,1.70366594,253.258,80.82,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.24038,-0.2128,-0.19345,-0.266,-0.29444,-0.21477,0.74487,1.05799,-0.75999,0.55131,-0.31289,-1.32399,-0.93832,-0.81731,-2.7519,-1.6721,2.1851,3.8915,3468.8173,1.942707284,1.484875335,1.969070629,2.512517443,1.726816178,265.378,85.7902,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
63,-0.2331,-0.25666,0.10687,-0.30462,-0.28416,-0.25754,-0.42985,1.06076,-0.76785,0.55961,-0.31094,-1.36538,0.53672,-0.86423,-2.41,-2.6113,0.8869,3.6625,3470.0158,1.930317717,1.42937126,1.964613086,2.653523909,1.723640979,269.404,76.5981,1.97,3.62,5.34,1.86,1.69,3.2,6.29,3.99,69.5,0.610350162
50,-0.20904,-0.25347,0.12425,-0.28987,-0.23246,-0.18288,-0.59984,1.05034,-0.76637,0.56197,-0.30992,-1.34021,0.72409,-0.85184,-1.2912,-7.5595,1.103,7.7479,3539.1017,1.923626213,1.423693496,1.97647989,3.951764822,1.753876751,262.098,93.1591,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
55,-0.23001,-0.25396,0.10529,-0.31818,-0.28524,-0.25909,-0.60653,1.07542,-0.76602,0.55402,-0.3117,-1.3936,0.71182,-0.8722,-1.8255,-1.6085,1.3595,2.7871,3471.4221,1.930706662,1.425037944,1.972419861,2.649869597,1.74712229,282.378,81.1867,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
60,-0.23986,-0.21093,-0.19012,-0.27037,-0.29553,-0.21122,0.74904,1.0672,-0.76072,0.55108,-0.31402,-1.33757,-0.93916,-0.82145,-1.2335,-0.5728,1.5464,2.0593,3449.5683,1.936053104,1.495318675,1.969148473,2.429586867,1.723294524,307.916,95.0556,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
62,-0.24018,-0.2137,-0.19042,-0.26741,-0.29592,-0.21644,0.74637,1.05938,-0.76082,0.55295,-0.31148,-1.32679,-0.93679,-0.82036,-1.7844,-0.9273,1.6848,2.6234,3469.7311,1.94186977,1.487831942,1.96891107,2.497933808,1.725409402,295.919,93.7826,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
61,-0.24752,-0.19878,-0.19625,-0.2445,-0.29618,-0.22136,0.72215,1.05426,-0.76121,0.55468,-0.31413,-1.29876,-0.9184,-0.79918,-2.1326,-1.7352,-0.0924,2.7509,3440.9578,1.929915434,1.487179216,1.961500765,2.741323389,1.706905196,269.509,83.9489,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
58a,-0.24169,-0.20782,-0.19151,-0.25211,-0.29,-0.22599,0.73933,1.05126,-0.76141,0.55742,-0.31155,-1.30337,-0.93084,-0.80953,-1.786,0.521,0.9633,2.095,3464.9272,1.938609157,1.481042514,1.960771301,2.723841747,1.711224502,308.781,126.482,1.68,5.4,8.13,5.3,1.69,3.28,6.36,4.01,37,-0.394413054
58b,-0.23633,-0.25391,0.10252,-0.30892,-0.28031,-0.25974,-0.59383,1.06081,-0.76772,0.55997,-0.31004,-1.36973,0.69635,-0.86889,-1.9493,-1.8984,0.8587,2.8533,3471.9962,1.927100125,1.423344455,1.96498943,2.679324117,1.724639658,305.634,104.212,1.68,3.72,8.51,4.21,1.69,3.3,6.27,3.89,59.5,0.285072882
47,-0.23216,-0.25237,0.10214,-0.30963,-0.28158,-0.26299,-0.59916,1.06106,-0.76625,0.5577,-0.31235,-1.37069,0.7013,-0.86733,-2.5771,-2.7053,1.1195,3.9004,3470.5924,1.932569846,1.425948956,1.965308551,2.734560654,1.727366018,251.605,77.9447,1.68,3.57,5.28,1.91,1.69,3.3,6.27,3.89,67.6,0.545023945
