Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_31,dip_x_1,dip_y_1,dip_z_1,Total_1,-30-31-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(4, 34)","Dist(31, 36)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
57,-0.23644,-0.2074,-0.19453,-0.24906,-0.29416,-0.21225,0.73732,1.01172,-0.92832,0.5488,0.52783,-1.26078,-0.93185,-0.79786,-2.7982,-1.6857,1.4379,3.5692,3271.9416,1.937287578,1.479118214,1.973872049,2.518953892,1.65466574,243.426,87.0296,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.23839,-0.21139,-0.19337,-0.25414,-0.29664,-0.20927,0.74563,1.01404,-0.9259,0.54877,0.52803,-1.26818,-0.939,-0.80291,-2.2764,-1.7606,2.2487,3.6522,3342.4532,1.935184193,1.485806514,1.979553174,2.441794947,1.686993961,256.068,89.4921,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
63,-0.22469,-0.25793,0.10865,-0.30046,-0.29075,-0.24788,-0.43043,1.02075,-0.9324,0.55153,0.52734,-1.32121,0.53908,-0.85199,-1.7496,-2.4616,1.3065,3.2905,3303.7603,1.932940336,1.42807645,1.979525384,2.534531185,1.676512896,259.727,90.0698,1.97,3.62,5.34,1.86,1.69,3.2,6.29,3.99,69.5,0.610350162
31,-0.23753,-0.19315,-0.18518,-0.24326,-0.29472,-0.20955,0.68807,0.99861,-0.9318,0.54722,0.52614,-1.24187,-0.87325,-0.79048,0.4044,-2.5562,1.9808,3.259,3201.9348,1.955145766,1.455408675,1.978582762,2.505269775,1.638742467,249.604,93.7637,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,80,1.027349341
50,-0.20985,-0.25398,0.1252,-0.2779,-0.23307,-0.18232,-0.60018,1.00452,-0.93161,0.56165,0.53158,-1.28242,0.72538,-0.83955,-1.0612,-7.7079,1.2896,7.8868,3459.4662,1.921700895,1.423633996,1.9874995,3.887653906,1.725990296,252.297,100.178,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
55,-0.22684,-0.2538,0.10393,-0.30467,-0.28679,-0.2523,-0.60557,1.027,-0.93323,0.55249,0.52714,-1.33167,0.7095,-0.85716,-1.315,-1.4851,1.4436,2.4533,3315.9225,1.926681859,1.423723618,1.978368225,2.56269838,1.677900601,272.83,87.978,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
60,-0.23841,-0.21094,-0.18857,-0.25613,-0.29721,-0.21036,0.74886,1.02176,-0.92701,0.54926,0.52748,-1.27789,-0.93743,-0.80539,-0.8262,-0.5892,1.7103,1.9888,3346.5925,1.931577907,1.494981737,1.980484511,2.422556021,1.68697724,298.822,97.764,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
62,-0.24038,-0.21407,-0.18681,-0.23601,-0.29605,-0.21485,0.74535,1.01536,-0.93159,0.54815,0.52658,-1.25137,-0.93216,-0.78416,-1.4568,-0.7265,1.073,1.9497,3222.0833,1.924540522,1.490477519,1.973825139,2.623822919,1.639722921,285.288,93.2151,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
61,-0.24201,-0.18604,-0.2036,-0.24197,-0.29235,-0.20439,0.73385,1.01184,-0.92906,0.54787,0.52727,-1.25381,-0.93745,-0.78984,-1.8172,-1.9494,1.0056,2.8484,3287.9339,1.929576636,1.481863187,1.980705121,2.563860796,1.673256894,259.932,100.349,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
58a,-0.23616,-0.20897,-0.19487,-0.24797,-0.29363,-0.2117,0.74353,1.01215,-0.92987,0.54926,0.52733,-1.26012,-0.9384,-0.79723,-1.1164,0.5784,1.1251,1.6872,3248.7823,1.935845746,1.479878037,1.972848468,2.528940472,1.64574432,297.103,125.013,1.68,5.4,8.13,5.3,1.69,3.28,6.36,4.01,37,-0.394413054
58b,-0.22894,-0.25175,0.10299,-0.2994,-0.28687,-0.25437,-0.59546,1.01975,-0.93408,0.55453,0.52687,-1.31915,0.69845,-0.85393,-1.3065,-1.6301,1.0704,2.3473,3287.9122,1.925359352,1.422846667,1.975088853,2.593603326,1.66026939,295.065,114.453,1.68,3.72,8.51,4.21,1.69,3.3,6.27,3.89,59.5,0.285072882
47,-0.22561,-0.25387,0.10093,-0.30488,-0.28643,-0.24926,-0.59931,1.01822,-0.93214,0.55071,0.52732,-1.3231,0.70024,-0.85559,-2.0315,-2.6193,1.5029,3.6396,3291.4156,1.93091037,1.424808736,1.979118612,2.557625679,1.673929416,241.788,87.1264,1.68,3.57,5.28,1.91,1.69,3.3,6.27,3.89,67.6,0.545023945
49,-0.22185,-0.24619,0.0916,-0.29622,-0.28673,-0.03965,-0.59735,1.02022,-0.93242,0.55025,0.52704,-1.31644,0.68895,-0.84647,-1.901,-2.7396,1.4791,3.6479,3283.7287,1.929796106,1.42503532,1.979210083,2.531184827,1.672026081,255.092,93.7125,1.68,3.57,5.26,1.91,1.79,3.3,7.21,3.89,65.5,0.475096955
48,-0.3154,-0.23134,0.07069,-0.29087,-0.33395,0.33244,-0.5942,1.02207,-0.9323,0.54942,0.52687,-1.31294,0.66489,-0.84029,-2.6494,-2.9994,1.4437,4.2545,3274.539,1.93145886,1.425609942,1.979232054,2.506951801,1.66996521,261.408,103.69,1.68,3.57,5.23,1.91,1.76,3.31,8.3,3.89,55.5,0.163699095
52,-0.22507,-0.04744,0.10592,-0.29755,-0.29304,-0.24393,-0.60293,1.01957,-0.93183,0.55147,0.52718,-1.31712,0.70885,-0.84902,-1.8137,-2.6923,1.4819,3.5684,3313.6325,1.930132631,1.426592267,1.97961665,2.556054352,1.67973759,253.703,93.7765,1.68,3.57,5.26,1.93,1.75,4.39,6.27,1.92,60,0.30048042
53,-0.22117,-0.03999,0.09683,-0.28915,-0.29295,-0.03449,-0.60082,1.02162,-0.93215,0.55103,0.5269,-1.31077,0.69765,-0.84018,-1.6943,-2.8019,1.4433,3.5783,3301.705,1.929238159,1.426695234,1.979555294,2.530857598,1.677411467,266.916,97.7361,1.68,3.57,5.24,1.92,1.8,4.39,7.22,1.93,64.5,0.442520525
54,-0.22677,-0.04738,0.10889,-0.29843,-0.29219,-0.24723,-0.61018,1.02838,-0.93286,0.55344,0.52707,-1.32681,0.71907,-0.85187,-1.1744,-1.6161,1.4153,2.4483,3332.6867,1.926330894,1.424617703,1.97836601,2.553418468,1.683163299,284.434,93.3687,2.14,3.7,6.66,4.39,1.75,4.39,6.27,1.91,77.5,0.916534977
56,-0.22802,-0.25895,0.11097,-0.30382,-0.28681,-0.26054,-0.63931,1.02718,-0.93371,0.55406,0.52634,-1.331,0.75028,-0.85788,-1.8783,-1.57,0.6639,2.5364,3281.6355,1.927297853,1.423697618,1.973306972,2.585343876,1.660876377,295.853,116.813,1.68,5.78,9.02,5.73,1.69,3.3,6.27,3.89,51.5,0.044477901
51,-0.19395,-0.25589,0.12478,-0.30877,-0.24281,-0.17984,-0.60228,1.01517,-0.93248,0.54847,0.52808,-1.32394,0.72706,-0.85724,-2.8288,-6.2654,1.7147,7.0851,3293.177,1.931923173,1.420486726,1.981004163,2.536478111,1.673889861,257.83,101.271,1.68,3.57,5.33,1.9,1.69,3.31,7.63,3.9,49.5,-0.014822012
64,-0.30812,-0.23301,0.06964,-0.28861,-0.34456,0.33571,-0.59491,1.02145,-0.93255,0.54947,0.52712,-1.31006,0.66455,-0.83808,-3.1146,-2.8848,1.4285,4.4792,3271.7572,1.931850616,1.425863385,1.979121118,2.510093763,1.668980844,247.646,93.3292,1.68,3.57,5.23,1.9,1.69,3.3,6.91,3.91,46.5,-0.103920585
69,-0.22884,-0.25436,0.10572,-0.30094,-0.28538,-0.25679,-0.59917,1.02284,-0.93397,0.55423,0.52803,-1.32378,0.70489,-0.85517,-1.6396,-1.5092,0.7376,2.3474,3297.1602,1.926080383,1.422104437,1.975792234,2.608073518,1.662528999,308.588,103.262,2.17,4.67,8.54,4.42,1.69,3.32,6.27,3.88,20.5,-1.004403982
