Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_8,diff_NBO_10_7,diff_NBO_32_30,dip_x_1,dip_y_1,dip_z_1,Total_1,-32-30-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 8)","Dist(10, 7)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.23457,-0.18795,-0.16806,-0.31315,-0.2816,-0.19707,-0.64034,-0.49426,0.18503,1.00416,0.54254,0.91911,-0.68315,-1.31731,-0.35309,1.49842,1.6445,-1.22569,-0.5101,0.0832,1.5483,1.6323,3530.9988,1.960050063,1.451977835,1.997700787,1.983566529,0.985209705,290.653,124.413,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.24858,-0.17753,-0.17539,-0.29906,-0.2908,-0.02904,-0.6373,-0.49267,0.18269,1.00068,0.54109,0.91909,-0.68153,-1.29974,-0.35808,1.49335,1.63798,-1.22262,0.5425,-3.2326,1.5577,3.6292,3560.2458,1.953454395,1.45222153,2.002684593,1.974853839,0.983768453,306.159,158.234,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.24676,-0.17767,-0.17464,-0.29872,-0.28814,-0.10529,-0.63725,-0.49261,0.18236,1.0004,0.54118,0.91907,-0.68145,-1.29912,-0.357,1.49301,1.63765,-1.22263,1.2232,-4.7616,1.5657,5.1595,3560.0429,1.951108823,1.452395025,2.002914931,1.974703347,0.983802814,314.948,171.604,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.22532,-0.18054,-0.17603,-0.29485,-0.27211,0.00258,-0.6379,-0.49777,0.18325,1.00366,0.54384,0.91832,-0.68327,-1.29851,-0.35928,1.50143,1.64156,-1.22711,0.7429,-2.6686,1.7516,3.2774,3528.8125,1.948816016,1.449320174,2.000109857,1.974623927,0.985380039,370.349,251.79,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.3318,-0.16117,-0.19904,-0.28867,-0.32873,0.38111,-0.63718,-0.50628,0.18272,1.00386,0.54305,0.91832,-0.6847,-1.29253,-0.38176,1.51014,1.64104,-1.22775,-1.3669,0.2458,1.5778,2.1019,3526.2778,1.951343142,1.444024223,1.998997191,1.975344253,0.985508274,314.211,166.953,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.28118,-0.16712,-0.2,-0.29197,-0.30255,0.21144,-0.63653,-0.50647,0.17993,1.00382,0.54238,0.91864,-0.68316,-1.29579,-0.37993,1.51029,1.64035,-1.22554,0.4326,-4.6149,1.4038,4.8431,3553.7895,1.952973683,1.444689274,1.999825643,1.975450115,0.984165879,340.684,216.285,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.20662,-0.19684,-0.11074,-0.31809,-0.24699,-0.07771,-0.6334,-0.49259,0.24268,0.99157,0.54259,0.918,-0.68452,-1.30966,-0.35342,1.48416,1.62497,-1.22711,-0.2192,-7.7896,1.9683,8.0374,3487.7848,1.952442483,1.47066115,1.972478647,1.975606427,0.987196613,374.525,258.917,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.22218,-0.18367,-0.16682,-0.29965,-0.25671,-0.02363,-0.63657,-0.49356,0.18269,1.00057,0.54311,0.91753,-0.6842,-1.30022,-0.34951,1.49413,1.63714,-1.22731,-0.5478,-1.3487,2.172,2.6147,3511.6639,1.943017971,1.451226615,2.00378133,1.974274197,0.986104248,365.28,249.686,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.01956,0.00259,-0.16247,-0.29971,-0.26573,-0.01476,-0.63767,-0.50686,0.17667,1.00697,0.54417,0.91766,-0.68374,-1.30668,-0.33914,1.51383,1.64464,-1.22791,1.5244,-1.4444,1.6347,2.6612,3516.1811,1.947705974,1.444645127,1.98858991,1.97623034,0.986097607,443.792,377.189,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.01318,-0.01687,-0.02267,-0.36265,-0.20437,-0.06562,-0.65267,-0.51801,-0.14119,1.04666,0.54286,0.91502,-0.67856,-1.40931,0.11852,1.56467,1.69933,-1.22142,1.7065,-0.9116,1.2383,2.297,3494.327,1.946017123,1.417458038,1.99292023,1.992824269,0.987126983,426.202,317.785,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
