Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,NPA_35,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_33,diff_NBO_10_35,diff_NBO_32_30,dip_x_1,dip_y_1,dip_z_1,Total_1,-30-32-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 33)","Dist(10, 35)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
57,-0.2322,-0.20096,-0.19068,-0.30052,-0.28109,-0.1981,0.72902,1.00469,0.53897,0.91949,-0.68871,-0.65661,-0.62697,-1.30521,-0.9197,1.6613,1.63166,-1.22768,-3.0893,-0.8666,1.4639,3.5268,3586.0097,1.946701991,1.4790487,1.953672939,1.976938981,0.982637375,239.649,71.078,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.23624,-0.20951,-0.21204,-0.28112,-0.26534,-0.19454,0.73349,1.00448,0.53835,0.92161,-0.68617,-0.67658,-0.62727,-1.2856,-0.94553,1.68106,1.63175,-1.22452,-2.8662,-0.945,0.8179,3.1268,3621.0561,1.933664069,1.488181531,1.954845664,1.97436342,0.981067999,250.934,77.3267,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
63,-0.22244,-0.25303,0.11386,-0.27755,-0.26108,-0.22728,-0.43162,0.98825,0.52108,0.91494,-0.6827,-0.62787,-0.60546,-1.2658,0.54548,1.61612,1.59371,-1.20378,-0.8394,-1.2524,0.9982,1.8082,3722.9567,1.93534657,1.428192941,1.921675524,1.975574715,0.97651452,256.59,81.2622,1.97,3.62,5.34,1.86,1.69,3.2,6.29,3.99,69.5,0.610350162
31,-0.23413,-0.17988,-0.17071,-0.28842,-0.30697,-0.19496,0.67957,0.98805,0.54148,0.91527,-0.68674,-0.57988,-0.62709,-1.27647,-0.85028,1.56793,1.61514,-1.22822,0.2843,-2.0375,1.7855,2.724,3527.3713,1.969030204,1.456340584,1.978100044,1.976624001,0.985564158,245.557,74.389,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,80,1.027349341
50,-0.19776,-0.24501,0.11136,-0.36674,-0.21987,-0.16072,-0.60315,1.00721,0.53399,0.92145,-0.68441,-0.64436,-0.63297,-1.37395,0.71451,1.65157,1.64018,-1.2184,-0.4314,-7.6145,1.4062,7.7553,3583.7454,1.936074175,1.425065871,1.94428603,1.975602705,0.982271498,249.13,72.3981,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
55,-0.21647,-0.25243,0.10164,-0.37566,-0.24628,-0.23001,-0.6022,1.02286,0.5369,0.91944,-0.68758,-0.65517,-0.63314,-1.39852,0.70384,1.67803,1.656,-1.22448,-1.4473,-0.923,1.551,2.3135,3540.447,1.935493954,1.427436368,1.94037326,1.977957097,0.984352738,268.688,66.9772,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
60,-0.23666,-0.21378,-0.21666,-0.26184,-0.26305,-0.19375,0.73198,1.00733,0.53747,0.92116,-0.68478,-0.69041,-0.62683,-1.26917,-0.94864,1.69774,1.63416,-1.22225,-1.1855,0.1189,1.0458,1.5853,3642.2311,1.925226647,1.499829036,1.958721257,1.972060594,0.980311921,293.793,82.566,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
62,-0.23307,-0.20456,-0.17307,-0.30679,-0.29182,-0.19628,0.73951,1.00841,0.53863,0.9173,-0.68969,-0.66637,-0.62542,-1.3152,-0.91258,1.67478,1.63383,-1.22832,-1.1145,-0.3492,2.082,2.3872,3538.2877,1.948241434,1.490596859,1.936334435,1.975312554,0.98481219,284.108,84.041,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
61,-0.23672,-0.19151,-0.1954,-0.30245,-0.27854,-0.19372,0.7158,1.00468,0.53891,0.91896,-0.69094,-0.66357,-0.62547,-1.30713,-0.9112,1.66825,1.63015,-1.22985,-1.6637,-0.9107,2.8921,3.4585,3563.9051,1.939417973,1.48664455,1.939610696,1.976926545,0.983579591,257.031,80.4947,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
58a,-0.23145,-0.20502,-0.1906,-0.30333,-0.27698,-0.19831,0.7345,1.00445,0.53907,0.92018,-0.68774,-0.65177,-0.62829,-1.30778,-0.9251,1.65622,1.63274,-1.22681,-1.0923,1.3961,1.1882,2.134,3589.1105,1.94548264,1.480227587,1.953850687,1.97593381,0.982559266,294.629,123.83,1.68,5.4,8.13,5.3,1.69,3.28,6.36,4.01,37,-0.394413054
