Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_29,NPA_30,NPA_31,NPA_35,NPA_40,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_40,diff_NBO_10_35,diff_NBO_29_31,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 40)","Dist(10, 35)","Dist(29, 31)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
3,-0.24829,-0.20081,-0.14576,-0.194,-0.26504,0.0047,0.26003,1.04329,-0.74247,0.86902,0.51002,-0.71416,-0.47627,-1.23729,-0.40579,1.51956,1.75745,-1.25249,-0.6577,-6.0327,-2.6063,6.6045,1.931623356,1.464197574,1.979390441,1.910647532,1.821136308,299.036,123.083,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,94,1.765869052
7,-0.24922,-0.00815,-0.13265,-0.19064,-0.27223,-0.19429,0.25751,1.04122,-0.74178,0.86894,0.50557,-0.71595,-0.47167,-1.23186,-0.39016,1.51289,1.75717,-1.24735,-1.2175,-6.5496,-2.7372,7.2022,1.923725336,1.477845044,1.959174273,1.911407883,1.824053001,296.491,112.908,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,97,2.230876365
8,-0.25267,-0.2149,-0.13572,-0.19801,-0.26617,-0.19972,0.26347,1.04187,-0.74203,0.86917,0.50598,-0.71538,-0.46874,-1.23988,-0.39919,1.51061,1.75725,-1.24801,-1.2753,-6.7133,-2.6442,7.3272,1.921481135,1.478337256,1.967776342,1.911403582,1.818441341,295.878,114.762,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,94,1.765869052
2,-0.32479,-0.18622,-0.16138,-0.18926,-0.31167,0.36618,0.26336,1.04259,-0.73269,0.85917,0.50737,-0.7188,-0.47883,-1.23185,-0.42474,1.52142,1.76139,-1.24006,-0.8307,-5.1418,-2.6569,5.847,1.929750106,1.460033571,1.985368462,1.909654478,1.962086764,305.372,137.862,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,95,1.889669976
4,-0.22458,-0.20681,-0.12459,-0.19961,-0.23001,-0.13381,0.25703,1.03884,-0.73941,0.86991,0.5082,-0.71683,-0.47148,-1.23845,-0.38162,1.51032,1.75567,-1.24761,0.0279,-8.3567,-2.4024,8.6952,1.929966918,1.468635178,1.982905458,1.908465235,1.844413066,296.8,118.188,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,95,1.889669976
1,-0.25126,-0.21003,-0.13781,-0.20184,-0.26561,-0.20242,0.25936,1.0418,-0.74087,0.8687,0.50558,-0.71532,-0.47407,-1.24364,-0.39717,1.51587,1.75712,-1.24645,-0.857,-6.5194,-2.869,7.1741,1.931647644,1.466927421,1.979098835,1.910148174,1.830652644,284.297,110.055,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,94,1.765869052
9,-0.23221,-0.05749,-0.08917,-0.21066,-0.26112,-0.20089,0.24556,1.04339,-0.74076,0.8693,0.50623,-0.71446,-0.4644,-1.25405,-0.33473,1.50779,1.75785,-1.24699,-0.8676,-5.9422,-2.8504,6.6474,1.942640726,1.428131468,2.001431813,1.909161238,1.826052804,306.316,135.116,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,96.5,2.128629495
30,-0.25082,-0.21411,-0.15888,-0.20022,-0.25542,-0.21595,0.09596,1.0394,-0.72476,0.87542,0.5242,-0.73615,-0.50651,-1.23962,-0.25484,1.54591,1.77555,-1.24896,-2.1461,-5.4432,-1.7004,6.0931,1.952287975,1.452978791,1.986247621,1.907330805,1.746733139,280.844,97.5717,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,84.5,1.088395136
33,-0.2384,-0.25836,0.10176,-0.25402,-0.25069,-0.22302,-0.13716,1.01731,-0.74284,0.86902,0.50588,-0.70993,-0.30039,-1.27133,0.23892,1.3177,1.72724,-1.24872,-0.5785,-5.3361,-3.1192,6.2079,1.942619495,1.427718868,1.969225712,1.911207815,1.835200714,266.781,90.8552,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,94,1.765869052
29,-0.24429,-0.27223,0.24867,-0.29577,-0.25076,-0.24676,-0.53253,1.03755,-0.72789,0.87084,0.50954,-0.74026,-0.52053,-1.33332,0.7812,1.55808,1.77781,-1.23743,-2.3471,-8.7521,-0.4097,9.0706,1.926005013,1.415507212,1.977596228,1.910809912,1.837129322,281.749,88.7531,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,29,-0.574635903
28,-0.25402,-0.21138,-0.13986,-0.19672,-0.2635,-0.21472,0.27931,1.0618,-0.72506,0.86791,0.50983,-0.73368,-0.47609,-1.25852,-0.41917,1.53789,1.79548,-1.23489,-3.6202,-7.8227,-3.399,9.2658,1.934072803,1.466904314,2.002614453,1.902710475,1.826574648,329.747,165.575,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,65.5,0.411436637
5,-0.21707,-0.21513,-0.10761,-0.2059,-0.2061,-0.16221,0.25165,1.03805,-0.72552,0.86576,0.50675,-0.72365,-0.46715,-1.24395,-0.35926,1.5052,1.7617,-1.23227,-3.8085,-9.7795,-4.7903,11.5364,1.933185079,1.470815646,1.982347538,1.901182719,1.852097151,300.711,129.782,1.7,3.23,6.29,3.85,1.7,3.17,7.8,4.09,95,1.889669976
41,-0.26376,-0.19221,-0.14105,-0.18257,-0.28257,-0.10115,0.52028,1.04775,-0.7229,0.87553,0.52225,-0.74039,-0.53124,-1.23032,-0.66133,1.57899,1.78814,-1.24515,0.3861,-3.7107,-3.3002,4.9808,1.940776112,1.46118912,1.946034249,1.911145146,1.773254912,396.502,155.773,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,70,0.543775347
35,-0.23499,-0.2383,0.1078,-0.23268,-0.25306,-0.03763,-0.13203,1.01868,-0.72757,0.87819,0.51829,-0.7407,-0.31091,-1.25136,0.23983,1.32959,1.75938,-1.24586,2.5316,-1.4559,-2.9542,4.1541,1.924390265,1.421210401,1.962974579,1.905716485,1.861371415,280.314,90.379,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,95,1.889669976
43,-0.24857,-0.20056,-0.12074,-0.21138,-0.27159,-0.23167,0.22473,1.04543,-0.7273,0.8708,0.51052,-0.75081,-0.3347,-1.25681,-0.34547,1.38013,1.79624,-1.23782,2.2163,-4.7687,-2.7232,5.9218,1.932663211,1.463314093,1.955749574,1.91248302,1.925230412,285.932,89.3789,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,58.5,0.220343055
40,-0.23599,-0.03737,0.11838,-0.22963,-0.26643,-0.23238,-0.13618,1.01864,-0.73016,0.87916,0.52135,-0.73929,-0.31206,-1.24827,0.25456,1.3307,1.75793,-1.25151,2.0225,-1.7998,-2.9868,4.0312,1.919199937,1.431193102,1.949630585,1.905779223,1.835187811,278.627,88.0072,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,84.5,1.088395136
27,-0.25202,-0.20226,-0.14868,-0.19609,-0.26617,-0.19116,0.28778,1.03289,-0.74046,0.86929,0.50573,-0.71476,-0.50634,-1.22898,-0.43646,1.53923,1.74765,-1.24619,-0.775,-3.6099,-3.2169,4.8969,1.93607569,1.459484903,1.981386405,1.910071499,1.82650925,279.92,104.946,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,41.5,-0.220343055
32,-0.23227,-0.19753,-0.17289,-0.19426,-0.23457,-0.15111,0.6764,1.03991,-0.71891,0.87362,0.52333,-0.74336,-0.57139,-1.23417,-0.84929,1.6113,1.78327,-1.24224,-1.2192,-8.5011,-1.6275,8.7409,1.960050299,1.452403456,1.980716958,1.913250214,1.756841634,277.939,82.1658,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,11,-1.341787249
