Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_35,NPA_40,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_40,diff_NBO_10_35,diff_NBO_31_32,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 40)","Dist(10, 35)","Dist(31, 32)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
3,-0.24891,-0.20155,-0.14667,-0.19307,-0.25992,0.00611,0.26007,1.04378,0.87063,-0.74368,0.50656,-0.71496,-0.47638,-1.23685,-0.40674,1.52016,1.75874,-1.25024,-0.3265,-5.4037,-2.1496,5.8247,1.930363637,1.463914949,1.97870016,1.909393127,1.819811325,288.364,122.226,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,94,1.765869052
7,-0.25044,-0.01052,-0.13211,-0.18841,-0.26756,-0.20913,0.25595,1.04238,0.8601,-0.7256,0.50494,-0.72188,-0.47067,-1.23079,-0.38806,1.51305,1.76426,-1.23054,-4.5841,-7.5277,-2.643,9.2014,1.924133322,1.478282354,1.957463191,1.9078161,1.835092467,285.51,112.214,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,97,2.230876365
8,-0.25424,-0.21581,-0.13719,-0.19711,-0.26164,-0.19714,0.26343,1.04252,0.87057,-0.7432,0.50211,-0.71672,-0.46912,-1.23963,-0.40062,1.51164,1.75924,-1.24531,-1.0058,-5.9644,-1.9935,6.3686,1.919658157,1.477919189,1.967490903,1.911211057,1.827687659,284.971,113.572,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,94,1.765869052
2,-0.33305,-0.1856,-0.15484,-0.18764,-0.30197,0.34809,0.26012,1.04187,0.86871,-0.73527,0.49724,-0.72111,-0.47576,-1.22951,-0.41496,1.51763,1.76298,-1.23251,-2.8302,-5.8762,-4.3449,7.8369,1.929493084,1.4628277,1.982500822,1.904383973,1.910406312,293.544,130.54,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,95,1.889669976
4,-0.22663,-0.20532,-0.11548,-0.19578,-0.23226,-0.16987,0.25341,1.03831,0.86753,-0.73585,0.4966,-0.72013,-0.46777,-1.23409,-0.36889,1.50608,1.75844,-1.23245,-1.5468,-8.4008,-5.0038,9.8997,1.932217214,1.471077625,1.98047826,1.897471097,1.923622951,284.457,110.02,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,95,1.889669976
1,-0.2528,-0.21106,-0.13927,-0.20103,-0.26016,-0.199,0.25954,1.04233,0.87051,-0.74199,0.50187,-0.71658,-0.47454,-1.24336,-0.39881,1.51687,1.75891,-1.24386,-0.5937,-5.8113,-2.0734,6.1986,1.929863672,1.466544875,1.978976762,1.91000266,1.832387692,273.518,109.305,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,94,1.765869052
9,-0.23387,-0.05824,-0.08954,-0.21086,-0.25456,-0.198,0.24511,1.04393,0.87087,-0.74196,0.50233,-0.71566,-0.46463,-1.25479,-0.33465,1.50856,1.75959,-1.24429,-0.6062,-5.27,-2.108,5.7082,1.94119316,1.427789453,2.001478403,1.908833582,1.833598231,295.437,134.455,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,96.5,2.128629495
30,-0.25088,-0.18925,-0.14918,-0.19003,-0.27376,-0.21716,0.1034,1.03687,0.87544,-0.72567,0.51133,-0.74311,-0.51154,-1.2269,-0.25258,1.54841,1.77998,-1.237,2.7028,-2.6194,-2.6787,4.6197,1.92742046,1.454807126,1.980057939,1.902868884,1.896102991,267.672,93.4708,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,84.5,1.088395136
33,-0.24008,-0.25973,0.10058,-0.25388,-0.2449,-0.21997,-0.13696,1.0183,0.87066,-0.74433,0.50198,-0.71081,-0.30029,-1.27218,0.23754,1.31859,1.72911,-1.24631,-0.4033,-4.7414,-2.3374,5.3016,1.940791109,1.428089496,1.969097436,1.911256319,1.834282312,255.964,90.1188,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,94,1.765869052
29,-0.24539,-0.27371,0.2455,-0.29479,-0.24514,-0.2386,-0.53309,1.03751,0.87341,-0.74097,0.50154,-0.73277,-0.52046,-1.3323,0.77859,1.55797,1.77028,-1.24251,0.3533,-6.6676,0.0689,6.6773,1.925479471,1.417605797,1.978145295,1.915296157,1.824035987,271.2,85.4324,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,29,-0.574635903
