Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_8,diff_NBO_10_7,diff_NBO_32_30,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 8)","Dist(10, 7)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.25823,-0.18724,-0.16626,-0.1943,-0.27522,-0.20988,-0.75231,-0.49883,0.20444,1.05378,0.51983,0.87339,-0.72299,-1.24808,-0.3707,1.55261,1.80609,-1.24282,2.3931,-1.6601,-3.0344,4.206,1.922564228,1.45156641,1.985639519,1.90808264,1.85219702,306.232,109.466,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.27158,-0.17594,-0.16647,-0.18436,-0.28771,-0.02414,-0.75474,-0.49899,0.2042,1.05321,0.52089,0.87394,-0.71988,-1.23757,-0.37067,1.5522,1.80795,-1.24077,2.8492,-4.0794,-2.9553,5.7873,1.924678312,1.450855502,1.985329409,1.906354275,1.853774256,321.497,141.592,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.26997,-0.18167,-0.16337,-0.19137,-0.28269,-0.10097,-0.74687,-0.49228,0.19595,1.05832,0.51761,0.87177,-0.72719,-1.24969,-0.35932,1.5506,1.80519,-1.2448,2.1891,-2.3956,-3.5571,4.815,1.923733279,1.452069444,1.997790386,1.910459604,1.823193881,328.281,152.485,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.24239,-0.19719,-0.1765,-0.19158,-0.24646,-0.01655,-0.75074,-0.49154,0.18413,1.05576,0.52342,0.87739,-0.72028,-1.24734,-0.36063,1.5473,1.8065,-1.2437,-2.0193,-4.868,-1.3411,5.4381,1.942195482,1.443794216,2.001817019,1.911556244,1.76329612,388.091,263.216,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.34614,-0.17948,-0.19669,-0.19193,-0.30039,0.36432,-0.75224,-0.49926,0.18334,1.05618,0.52418,0.87642,-0.71733,-1.24811,-0.38003,1.55544,1.80842,-1.24151,-3.9138,-3.8681,-1.645,5.7433,1.94765529,1.43864211,2.002102526,1.912819742,1.754008642,334.081,178.811,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.28558,-0.18499,-0.19233,-0.1864,-0.2831,0.19846,-0.73178,-0.49944,0.18273,1.04977,0.52335,0.87645,-0.73791,-1.23617,-0.37506,1.54921,1.78155,-1.26126,0.2504,-8.7921,-2.4042,9.1183,1.933981616,1.44198001,1.99876756,1.914760642,1.815891925,356.308,219.061,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.22125,-0.19814,-0.10609,-0.18788,-0.22859,-0.10201,-0.74414,-0.47141,0.2665,1.03583,0.51826,0.87727,-0.72627,-1.22371,-0.37259,1.50724,1.77997,-1.24453,1.086,-3.6865,-2.8894,4.8081,1.908705888,1.468255888,1.978457774,1.901673855,1.878359492,389.028,246.125,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.24302,-0.2002,-0.17331,-0.18812,-0.23391,-0.03924,-0.74163,-0.48539,0.18498,1.04574,0.51504,0.87338,-0.7264,-1.23386,-0.35829,1.53113,1.78737,-1.24144,-3.3066,-4.3214,-0.9104,5.5169,1.926932277,1.448059014,2.003616216,1.912908081,1.826053926,377.589,239.667,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.01788,-0.01106,-0.14066,-0.18603,-0.23364,-0.00742,-0.74827,-0.4897,0.19853,1.05357,0.50933,0.8677,-0.72127,-1.2396,-0.33919,1.54327,1.80184,-1.2306,0.2793,-2.3252,-3.3527,4.0896,1.922469902,1.446040981,1.973416077,1.908904732,1.871130954,451.689,351.174,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.02012,-0.01583,-0.01592,-0.22633,-0.23649,-0.04854,-0.77783,-0.49011,-0.11723,1.09532,0.52258,0.87356,-0.70431,-1.32165,0.10131,1.58543,1.87315,-1.22689,0.6719,-0.8908,-3.483,3.6574,1.917786351,1.414433404,1.974805143,1.917618941,1.83104766,437.08,292.896,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
