Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_8,diff_NBO_10_7,diff_NBO_32_30,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 8)","Dist(10, 7)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.2583,-0.18651,-0.16681,-0.19359,-0.27557,-0.21008,-0.75313,-0.50122,0.20466,1.05224,0.51698,0.87208,-0.72179,-1.24583,-0.37147,1.55346,1.80537,-1.23877,2.1214,-1.8979,-2.5505,3.822,1.922075782,1.451417561,1.984437827,1.907871591,1.864921495,295.923,113.567,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.27371,-0.19491,-0.16167,-0.18879,-0.28344,-0.02907,-0.75198,-0.49243,0.20067,1.05171,0.5164,0.87077,-0.72138,-1.2405,-0.36234,1.54414,1.80369,-1.23778,2.5241,-2.2874,-3.458,4.854,1.925427676,1.453438784,1.988413511,1.906360925,1.860187749,310.335,144.725,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.2699,-0.17344,-0.16607,-0.18343,-0.28674,-0.09455,-0.75401,-0.49944,0.20454,1.05038,0.51801,0.87301,-0.72034,-1.23381,-0.37061,1.54982,1.80439,-1.23835,2.4755,-4.2305,-2.3238,5.4245,1.922196304,1.451490344,1.984262816,1.906138842,1.856254259,319.568,156.377,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.24226,-0.1982,-0.1748,-0.188,-0.24403,-0.02263,-0.75176,-0.48986,0.18412,1.05475,0.52004,0.8736,-0.7202,-1.24275,-0.35892,1.54461,1.80651,-1.24024,-2.7038,-4.5705,-1.3208,5.4722,1.936715937,1.445250416,2.001926117,1.912466387,1.824492157,376.973,256.594,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.33542,-0.17152,-0.19199,-0.17701,-0.31874,0.38516,-0.75031,-0.51022,0.20305,1.04996,0.50826,0.86607,-0.71748,-1.22697,-0.39504,1.56018,1.80027,-1.22574,-0.1432,-2.8344,-1.6658,3.2908,1.919687512,1.43765643,1.981270505,1.909938063,1.948464994,320.918,160.437,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.29168,-0.18403,-0.19451,-0.185,-0.28714,0.20045,-0.73459,-0.50018,0.18393,1.04792,0.52388,0.87659,-0.7373,-1.23292,-0.37844,1.5481,1.78251,-1.26118,-0.0035,-7.6322,-0.818,7.6759,1.933672932,1.440609913,1.999897663,1.915865307,1.805135495,346.936,218.84,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.23135,-0.21519,-0.09803,-0.18922,-0.22601,-0.10457,-0.74599,-0.47109,0.26279,1.03521,0.51229,0.8745,-0.72349,-1.22443,-0.36082,1.5063,1.7812,-1.23578,1.2247,-2.318,-3.5685,4.428,1.909860816,1.468821051,1.976664782,1.902174921,1.892089061,377.898,248.406,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.24725,-0.20516,-0.17793,-0.20066,-0.2359,-0.0379,-0.73949,-0.48328,0.18729,1.04634,0.50079,0.8602,-0.72235,-1.247,-0.36522,1.52962,1.78583,-1.22314,-1.214,-3.8574,-3.6222,5.429,1.929454401,1.449513082,2.001697659,1.909211321,2.031497519,365.997,228.321,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.02463,-0.01815,-0.13455,-0.18956,-0.24492,-0.03119,-0.75221,-0.49464,0.19491,1.05509,0.51819,0.87216,-0.72117,-1.24465,-0.32946,1.54973,1.8073,-1.23936,1.5659,0.2952,-3.3168,3.6797,1.922383213,1.451726943,1.977693221,1.906860873,1.848449549,440.469,345.204,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.02106,-0.01677,-0.0206,-0.22544,-0.23803,-0.04795,-0.77766,-0.49471,-0.11616,1.0943,0.51792,0.87084,-0.70406,-1.31974,0.09556,1.58901,1.87196,-1.22198,0.1025,-0.3036,-3.9091,3.9222,1.91898262,1.413828425,1.974973034,1.915968144,1.857655898,424.47,292.204,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
28,-0.26413,-0.21334,-0.12532,-0.1864,-0.2701,-0.21971,-0.76193,-0.47522,0.29534,1.06157,0.5114,0.87153,-0.70807,-1.24797,-0.42066,1.53679,1.8235,-1.21947,1.7431,-2.2366,-3.655,4.626,1.910176647,1.469116342,1.976612427,1.901907161,1.902018094,316.635,147.841,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,88.5,1.512280624
