Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_35,NPA_40,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_40,diff_NBO_10_35,diff_NBO_31_32,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 40)","Dist(10, 35)","Dist(31, 32)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
57,-0.25929,-0.21671,-0.19671,-0.20185,-0.26499,-0.22053,0.73891,1.05097,0.85852,-0.73775,0.50005,-0.71409,-0.64365,-1.25282,-0.93562,1.69462,1.76506,-1.2378,-2.9259,-5.0624,-4.8592,7.6027,1.932621249,1.474884809,1.963316964,1.899990542,1.957655196,246.701,71.9388,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.2762,-0.22397,-0.17982,-0.20115,-0.26065,-0.23027,0.75735,1.0557,0.85399,-0.72135,0.50453,-0.73076,-0.6718,-1.25685,-0.93717,1.7275,1.78646,-1.22588,-1.627,-2.5833,-3.1685,4.4,1.933285921,1.480076957,1.980834784,1.90552825,2.011327927,256.826,70.3407,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
63,-0.23899,-0.26971,0.10647,-0.2648,-0.26841,-0.25046,-0.44085,1.05738,0.86106,-0.74785,0.50017,-0.7096,-0.60961,-1.32218,0.54732,1.66699,1.76698,-1.24802,-4.1568,-8.6695,-3.9453,10.3926,1.933866534,1.432152312,1.948570162,1.901981914,1.925134206,263.941,82.9614,1.97,3.62,5.34,1.86,1.69,3.2,6.29,3.99,69.5,0.610350162
31,-0.26499,-0.2075,-0.18679,-0.20304,-0.26887,-0.21603,0.67893,1.04402,0.85901,-0.72726,0.49835,-0.72898,-0.57101,-1.24706,-0.86572,1.61503,1.773,-1.22561,0.1113,-5.5414,-5.0544,7.5011,1.956555658,1.452128948,1.973575516,1.903182494,2.028092926,252.47,71.3742,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,80,1.027349341
50,-0.21708,-0.25977,0.11796,-0.26945,-0.2189,-0.18692,-0.60757,1.05331,0.86701,-0.74585,0.49822,-0.71048,-0.61632,-1.32276,0.72553,1.66963,1.76379,-1.24407,-4.0007,-9.8782,-5.1937,11.8558,1.93818114,1.425831297,1.951147101,1.897006846,1.88386036,257.885,82.3024,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
55,-0.23951,-0.26536,0.10588,-0.27468,-0.26515,-0.25618,-0.61009,1.0641,0.86283,-0.74586,0.49961,-0.71297,-0.61625,-1.33878,0.71597,1.68035,1.77707,-1.24547,-3.5824,-8.2737,-3.902,9.8241,1.932431409,1.42868634,1.950112957,1.90269269,1.923940875,277.775,76.8732,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
60,-0.27192,-0.23432,-0.17693,-0.20092,-0.26197,-0.22996,0.76549,1.06785,0.85218,-0.72263,0.50415,-0.72922,-0.67277,-1.26877,-0.94242,1.74062,1.79707,-1.22678,-1.6923,-2.4886,-3.1467,4.3541,1.927736509,1.487429706,1.975213059,1.911658038,2.028221432,300.17,72.5279,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
62,-0.25705,-0.2197,-0.19301,-0.20069,-0.26669,-0.22299,0.74817,1.05496,0.85846,-0.74256,0.50141,-0.70761,-0.64581,-1.25565,-0.94118,1.70077,1.76257,-1.24397,-3.9535,-7.0929,-4.7271,9.396,1.928547255,1.484005417,1.955191232,1.901999382,1.913268621,290.646,93.6508,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
61,-0.2776,-0.21478,-0.19127,-0.19832,-0.26538,-0.22782,0.73155,1.05445,0.85588,-0.72758,0.50619,-0.726,-0.66451,-1.25277,-0.92282,1.71896,1.78045,-1.23377,-0.9009,-2.8263,-2.7917,4.0735,1.930914942,1.481238559,1.96421568,1.905288094,1.986420685,261.616,71.7806,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
58a,-0.2568,-0.21588,-0.19782,-0.20185,-0.26496,-0.218,0.74668,1.05121,0.85867,-0.73786,0.5004,-0.7138,-0.63223,-1.25306,-0.9445,1.68344,1.76501,-1.23826,-2.6425,-5.1438,-5.0172,7.6559,1.933525341,1.474986925,1.959380099,1.900372741,1.940121355,302.241,136.331,1.68,5.4,8.13,5.3,1.69,3.28,6.36,4.01,37,-0.394413054
58b,-0.24022,-0.2634,0.10316,-0.27218,-0.26544,-0.25236,-0.59821,1.05955,0.86153,-0.7464,0.50001,-0.71124,-0.61874,-1.33173,0.70137,1.67829,1.77079,-1.24641,-3.7409,-9.2253,-3.78,10.6484,1.93413145,1.428005273,1.94954579,1.902849197,1.921643228,299.517,123.261,1.68,3.72,8.51,4.21,1.69,3.3,6.27,3.89,59.5,0.285072882
47,-0.26128,-0.26307,0.11058,-0.27255,-0.24274,-0.25472,-0.59303,1.07017,0.86455,-0.72652,0.49956,-0.73584,-0.64985,-1.34272,0.70361,1.72002,1.80601,-1.22608,-0.9463,-3.7368,-4.6883,6.0695,1.944393043,1.426161179,1.950075716,1.903547071,1.965037064,245.573,72.6162,1.68,3.57,5.28,1.91,1.69,3.3,6.27,3.89,67.6,0.545023945
49,-0.23747,-0.25751,0.09365,-0.26769,-0.26321,-0.04149,-0.60098,1.05988,0.86133,-0.74705,0.50403,-0.70964,-0.62635,-1.32757,0.69463,1.68623,1.76952,-1.25108,-3.2554,-7.2206,-4.272,8.9992,1.937931277,1.428595716,1.948792235,1.901849102,1.91121633,259.207,84.7888,1.68,3.57,5.26,1.91,1.79,3.3,7.21,3.89,65.5,0.475096955
48,-0.32316,-0.24375,0.08146,-0.25648,-0.28801,0.32264,-0.60072,1.05902,0.86867,-0.7453,0.49614,-0.71289,-0.62681,-1.3155,0.68218,1.68583,1.77191,-1.24144,-4.9237,-6.5079,-4.6799,9.4073,1.935222564,1.428970888,1.951123783,1.8995795,1.91354977,264.478,97.4907,1.68,3.57,5.23,1.91,1.76,3.31,8.3,3.89,55.5,0.163699095
52,-0.2361,-0.06193,0.10793,-0.26628,-0.27066,-0.24787,-0.6084,1.05912,0.86144,-0.74636,0.49986,-0.71065,-0.62152,-1.3254,0.71633,1.68064,1.76977,-1.24622,-3.9341,-8.055,-4.1601,9.8827,1.936375411,1.430482589,1.948378481,1.902345505,1.922160402,258.624,84.0297,1.68,3.57,5.26,1.93,1.75,4.39,6.27,1.92,60,0.30048042
53,-0.23312,-0.05522,0.09987,-0.25983,-0.27112,-0.03514,-0.60558,1.06107,0.86161,-0.74815,0.50393,-0.70951,-0.62432,-1.3209,0.70545,1.68539,1.77058,-1.25208,-3.7074,-7.3211,-4.2394,9.2367,1.937157614,1.430205031,1.94641835,1.901845754,1.914777219,271.563,88.8885,1.68,3.57,5.24,1.92,1.8,4.39,7.22,1.93,64.5,0.442520525
54,-0.23572,-0.06289,0.11273,-0.26753,-0.27159,-0.25043,-0.61453,1.06496,0.86287,-0.74609,0.49957,-0.71336,-0.61483,-1.33249,0.72726,1.67979,1.77832,-1.24566,-3.9249,-8.3197,-3.9073,9.9944,1.932588857,1.429571179,1.948173108,1.903119903,1.927082309,289.975,83.1597,2.14,3.7,6.66,4.39,1.75,4.39,6.27,1.91,77.5,0.916534977
56,-0.23914,-0.27001,0.10975,-0.2769,-0.26514,-0.25704,-0.64134,1.06583,0.8607,-0.74591,0.49991,-0.71324,-0.65144,-1.34273,0.75109,1.71727,1.77907,-1.24582,-3.826,-9.8313,-3.6406,11.1601,1.933871256,1.431368567,1.954546129,1.903649086,1.927772304,304.007,140.729,1.68,5.78,9.02,5.73,1.69,3.3,6.27,3.89,51.5,0.044477901
51,-0.20195,-0.26918,0.13173,-0.27798,-0.18401,-0.18273,-0.60848,1.05518,0.86758,-0.74142,0.49491,-0.71304,-0.61402,-1.33316,0.74021,1.6692,1.76822,-1.23633,-4.717,-9.0253,-4.5617,11.1587,1.939053932,1.424699225,1.951789499,1.898302773,1.874534036,262.522,96.96,1.68,3.57,5.33,1.9,1.69,3.31,7.63,3.9,49.5,-0.014822012
64,-0.31683,-0.24516,0.07866,-0.25366,-0.29749,0.32816,-0.60037,1.0585,0.86889,-0.74499,0.49595,-0.71324,-0.62711,-1.31216,0.67903,1.68561,1.77174,-1.24094,-4.8425,-6.7824,-4.7215,9.5783,1.935728512,1.428994651,1.950745174,1.899489504,1.916470665,251.124,85.4987,1.68,3.57,5.23,1.9,1.69,3.3,6.91,3.91,46.5,-0.103920585
69,-0.24013,-0.26667,0.10123,-0.27546,-0.26364,-0.25554,-0.60514,1.05881,0.86197,-0.74689,0.50009,-0.71075,-0.60765,-1.33427,0.70637,1.66646,1.76956,-1.24698,-4.5601,-9.7345,-3.1148,11.1919,1.936938992,1.426865623,1.953873664,1.903747648,1.920509004,312.401,111.373,2.17,4.67,8.54,4.42,1.69,3.32,6.27,3.88,20.5,-1.004403982
