Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_30,diff_NBO_30_31,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(30, 31)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.26004,-0.19795,-0.17744,-0.18311,-0.26514,-0.19794,0.18774,1.08094,-0.82907,0.54236,-1.26405,-0.36518,1.91001,-1.37143,-2.5825,-3.4761,-4.5922,6.312,1.92884587,1.444854905,1.882521846,1.446835265,309.145,139.122,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.27105,-0.18515,-0.17654,-0.18215,-0.28256,-0.01569,0.1866,1.0861,-0.82823,0.54225,-1.26825,-0.36314,1.91433,-1.37048,-1.34,-6.6696,-3.1345,7.4903,1.945582245,1.442076143,1.88644496,1.462010253,325.945,179.157,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.2704,-0.18525,-0.17724,-0.18384,-0.29428,-0.09546,0.18731,1.08851,-0.83547,0.53965,-1.27235,-0.36455,1.92398,-1.37512,-1.2728,-9.6574,-3.5068,10.3529,1.94314849,1.442018844,1.896715832,1.497511187,332.706,192.645,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.24434,-0.19051,-0.17638,-0.17374,-0.25408,-0.00857,0.18433,1.08569,-0.83132,0.54352,-1.25943,-0.36071,1.91701,-1.37484,-1.7388,-4.6605,-2.1556,5.4212,1.928270005,1.440167271,1.891449411,1.501042913,388.499,269.349,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.35222,-0.16812,-0.19765,-0.18446,-0.30009,0.38489,0.18755,1.08601,-0.8235,0.54225,-1.27047,-0.3852,1.90951,-1.36575,-1.1871,-4.4054,-3.0553,5.491,1.921345733,1.434920391,1.89399797,1.58624034,330.508,173.074,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.28843,-0.17856,-0.18847,-0.18164,-0.28226,0.19146,0.18479,1.08187,-0.82815,0.54202,-1.26351,-0.37326,1.91002,-1.37017,-0.5765,-8.6339,-3.3544,9.2805,1.921923485,1.439535251,1.897543688,1.505737815,354.043,217.7,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.22618,-0.21367,-0.10843,-0.20726,-0.21,-0.09903,0.27116,1.09222,-0.82127,0.53996,-1.29948,-0.37959,1.91349,-1.36123,-0.9632,-3.7011,-3.5116,5.192,1.915713371,1.46875163,1.889505771,1.490972784,385.179,253.554,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.24071,-0.19414,-0.16824,-0.17978,-0.23418,-0.03725,0.18503,1.08323,-0.83154,0.54352,-1.26301,-0.35327,1.91477,-1.37506,-2.9579,-3.3852,-2.2155,5.0117,1.932006051,1.442150256,1.890262002,1.474073405,383.429,267.679,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.02395,-0.00658,-0.14881,-0.18708,-0.23661,-0.02327,0.18195,1.08357,-0.82594,0.53965,-1.27065,-0.33076,1.90951,-1.36559,-1.2117,-4.807,-3.2773,5.9428,1.924481754,1.44188003,1.894095023,1.52497811,452.803,359.527,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.0216,-0.01888,-0.01389,-0.25696,-0.22005,-0.05242,-0.13405,1.13925,-0.85899,0.53882,-1.39621,0.12016,1.99824,-1.39781,-1.6662,-4.6256,-1.5151,5.1447,1.916309034,1.417213102,1.904984376,1.455666969,443.538,321.132,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
