Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_30,diff_NBO_30_31,diff_NBO_30_32,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(30, 31)","Dist(30, 32)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.25266,-0.20767,-0.17782,-0.18151,-0.24927,-0.18889,0.20399,1.05329,-1.00771,0.53991,0.47008,-1.2348,-0.38181,2.061,-1.54762,-1.47779,1.0057,-4.6731,-4.1009,6.2982,1.927838331,1.447071064,1.889551114,1.513719449,0.967223047,293.65,129.388,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.26351,-0.19517,-0.18044,-0.17365,-0.26049,-0.00705,0.20165,1.0522,-1.00663,0.53976,0.47113,-1.22585,-0.38209,2.05883,-1.54639,-1.47776,1.4597,-6.694,-3.955,7.9109,1.930740518,1.446815772,1.888271497,1.516599566,0.967170584,308.77,159.939,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.26188,-0.19541,-0.17882,-0.17306,-0.25827,-0.0783,0.20151,1.0513,-1.00695,0.53982,0.4712,-1.22436,-0.38033,2.05825,-1.54677,-1.47815,1.4843,-6.6956,-3.8675,7.8734,1.928509278,1.44727204,1.88834592,1.516878348,0.967128102,317.156,171.58,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.23649,-0.20105,-0.17803,-0.17519,-0.2336,7.00E-05,0.20113,1.05138,-1.00859,0.54088,0.47037,-1.22657,-0.37916,2.05997,-1.54947,-1.47896,1.2293,-4.9527,-3.4318,6.1495,1.924914163,1.445074664,1.890409892,1.513890932,0.967244816,369.004,237.142,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.33833,-0.18332,-0.20055,-0.17307,-0.29122,0.38687,0.19789,1.05283,-1.00857,0.54131,0.47,-1.2259,-0.39844,2.0614,-1.54988,-1.47857,-0.1433,-4.0585,-3.2103,5.1766,1.925605221,1.43849515,1.891961334,1.507886013,0.96731604,317.211,168.498,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.2916,-0.18049,-0.19114,-0.17374,-0.28575,0.19273,0.18181,1.03372,-1.00824,0.54071,0.47477,-1.20746,-0.37295,2.04196,-1.54895,-1.48301,-1.7387,-8.515,-2.9585,9.1804,1.917814591,1.441217823,1.895880788,1.570063689,0.968320866,344.847,225.095,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.21343,-0.21825,-0.12021,-0.18368,-0.19879,-0.08518,0.26633,1.03244,-0.99734,0.53987,0.4693,-1.21612,-0.38654,2.02978,-1.53721,-1.46664,-0.5074,-6.5163,-3.6762,7.4989,1.911559132,1.466896184,1.889042355,1.510710125,0.968702225,375.187,261.533,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.23382,-0.20423,-0.17225,-0.17463,-0.21343,-0.02743,0.20083,1.04891,-1.00907,0.54088,0.47041,-1.22354,-0.37308,2.05798,-1.54995,-1.47948,-0.0428,-3.5085,-3.0086,4.622,1.919964406,1.446857052,1.891604646,1.506878769,0.967169944,365.841,242.297,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.01924,-0.0174,-0.15167,-0.17702,-0.21931,-0.00931,0.19587,1.05501,-1.00886,0.54007,0.46971,-1.23203,-0.34754,2.06387,-1.54893,-1.47857,1.0123,-4.2569,-3.693,5.7258,1.92689315,1.44474888,1.890358502,1.527754882,0.967156986,437.678,358.617,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.01779,-0.01994,-0.01299,-0.23923,-0.19292,-0.04087,-0.13481,1.09756,-1.03458,0.54459,0.4704,-1.33679,0.12182,2.13214,-1.57917,-1.50498,1.0054,-4.5426,-3.5772,5.8688,1.923063022,1.417037685,1.89178945,1.579366964,0.966336424,423.319,303.363,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
28,-0.25037,-0.21659,-0.14162,-0.18277,-0.24571,-0.19749,0.29755,1.06243,-1.00778,0.54029,0.46645,-1.2452,-0.43917,2.07021,-1.54807,-1.47423,-0.2317,-6.2646,-3.5157,7.1874,1.90770948,1.465809104,1.890499988,1.535090615,0.968583843,315.867,166.368,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,88.5,1.512280624
29,-0.24454,-0.26534,0.26707,-0.26545,-0.24273,-0.24969,-0.52584,1.04617,-1.01511,0.54086,0.46836,-1.31162,0.79291,2.06128,-1.55597,-1.48347,2.2945,-4.4568,-1.7313,5.3032,1.900145015,1.407757798,1.890814899,1.510243632,0.967577652,267.899,77.1745,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,73,0.73709082
31,-0.24637,-0.19604,-0.18392,-0.17789,-0.25674,-0.19875,0.68638,1.04159,-0.99336,0.54023,0.4701,-1.21948,-0.8703,2.03495,-1.53359,-1.46346,2.078,-4.6954,-3.5777,6.2582,1.940210036,1.450474379,1.893628979,1.481377072,0.968268613,251.221,95.1044,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,88,1.476541977
30,-0.24488,-0.2173,-0.15858,-0.18461,-0.24533,-0.19877,0.10652,1.03398,-0.9933,0.53887,0.4691,-1.21859,-0.2651,2.02728,-1.53217,-1.4624,1.1303,-4.9872,-4.123,6.5687,1.933662222,1.452579988,1.886978339,1.520458981,0.96899449,264.804,111.751,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,86.5,1.376514935
33,-0.23413,-0.26541,0.10449,-0.23794,-0.23037,-0.22325,-0.13014,1.01419,-0.9902,0.53858,0.46903,-1.25213,0.23463,2.00439,-1.52878,-1.45923,0.4803,-4.6932,-4.3457,6.4142,1.929568074,1.425192925,1.887767987,1.518833144,0.969158368,252.779,103.212,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,85,1.285471038
37,-0.196,-0.26712,0.13139,-0.2403,-0.17892,-0.16481,-0.13597,1.00783,-0.98952,0.53873,0.47048,-1.24813,0.26736,1.99735,-1.52825,-1.46,-0.5327,-7.6523,-4.0024,8.6522,1.928437059,1.421806357,1.88822427,1.510611817,0.969008037,270.465,123.399,1.69,3.08,5.44,1.88,1.7,3.15,7.7,4.01,86.5,1.376514935
38a,-0.26373,-0.19491,-0.181,-0.17001,-0.24405,0.20066,0.19955,1.0483,-1.0083,0.54081,0.47125,-1.21831,-0.38055,2.0566,-1.54911,-1.47955,-0.0201,-5.2544,-2.8616,5.9832,1.921963108,1.44572407,1.891267571,1.505426127,0.96717047,349.415,221.105,1.68,2.76,5.09,2.16,1.86,3.17,9.71,4.09,78.5,0.95972715
38b,-0.20094,-0.26569,0.12234,-0.23665,-0.18475,-0.10442,-0.13357,1.00945,-0.9902,0.53897,0.46999,-1.2461,0.25591,1.99965,-1.52917,-1.46019,-0.473,-5.6018,-3.8566,6.8175,1.925353838,1.42222704,1.888772228,1.509037533,0.969062246,355.137,230.562,1.69,3.08,5.44,1.87,1.75,3.15,9.31,4.01,78,0.937954847
39,-0.23386,-0.26191,0.09774,-0.2397,-0.2292,-0.22154,-0.12531,1.05755,-1.01483,0.54176,0.47005,-1.29725,0.22305,2.07238,-1.55659,-1.48488,2.5483,-4.7141,-3.4752,6.3869,1.922240803,1.425132802,1.889881015,1.538942595,0.966732582,414.223,243.777,2.21,6.1,8.45,5.05,1.7,3.15,6.27,4.01,69,0.59294913
46,-0.22843,-0.22058,-0.12876,-0.2326,-0.26362,-0.20578,0.1291,1.05461,-0.98192,0.55157,0.54437,-1.28721,-0.25786,2.03653,-1.53349,-1.52629,-0.142,-4.3455,-6.9044,8.1593,1.929135928,1.462071467,1.942040025,0.983057198,1.030238871,352.134,159.927,2.07,7.35,9.23,2.17,1.69,3.19,6.34,4.05,42,-0.239199582
41,-0.26669,-0.20274,-0.15397,-0.18481,-0.27096,-0.10674,0.51517,1.04614,-1.00377,0.54144,0.47549,-1.23095,-0.66914,2.04991,-1.54521,-1.47926,-2.9437,-6.7237,-2.3218,7.6983,1.939730163,1.455638483,1.89887762,1.48187917,0.968959471,384.198,184.699,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,97.5,2.714977244
67,-0.33256,-0.17854,-0.20898,-0.17636,-0.29463,0.37351,0.68467,1.07815,-1.00517,0.54102,0.47059,-1.25451,-0.89365,2.08332,-1.54619,-1.47576,0.5422,-4.1116,-2.9486,5.0885,1.940063031,1.443368312,1.895171929,1.477685433,0.968570411,292.617,120.906,2.52,3.55,6.48,4.09,2.09,4.79,8.31,5.41,13,-1.408754725
35,-0.2387,-0.24865,0.09982,-0.23508,-0.23906,-0.03356,-0.1341,1.0051,-0.9992,0.53947,0.47755,-1.24018,0.23392,2.0043,-1.53867,-1.47675,-1.9682,-5.1295,-3.4388,6.4816,1.929283063,1.428093163,1.889846626,1.512780993,0.967884423,268.118,114.283,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,87,1.408754725
21,-0.25243,-0.00247,-0.17458,-0.17133,-0.25628,-0.18032,0.20069,1.05485,-1.00855,0.5403,0.47039,-1.22618,-0.37527,2.0634,-1.54885,-1.47894,0.6447,-4.6872,-4.0538,6.2304,1.927086494,1.447466551,1.890564696,1.507321773,0.967134637,305.763,128.661,1.68,2.76,5.1,2.16,1.75,4.35,6.34,2.25,88,1.476541977
22,-0.33637,0.0219,-0.19735,-0.16261,-0.29965,0.39794,0.19406,1.05179,-1.00963,0.54229,0.47039,-1.2144,-0.39141,2.06142,-1.55192,-1.48002,-0.3986,-4.3746,-2.8362,5.2288,1.922778016,1.437847783,1.893916702,1.500432787,0.967270546,329.391,166.302,1.68,2.76,5.09,2.16,1.77,4.34,8.42,2.26,90,1.628310181
23,0.32231,-0.27477,-0.1426,-0.26162,0.33386,-0.36717,0.20168,1.05922,-1.0113,0.54344,0.47109,-1.32084,-0.34428,2.07052,-1.55474,-1.48239,0.2116,-3.6537,-2.7741,4.5924,1.939398529,1.447846308,1.889272254,1.487123238,0.966178751,330.075,159.28,1.68,2.76,5.1,2.16,1.89,4.62,7.11,5.75,73.5,0.756001668
24a,0.28088,-0.29046,-0.17529,-0.18872,-0.27435,0.32752,0.2009,1.0548,-1.00601,0.54016,0.47017,-1.24352,-0.37619,2.06081,-1.54617,-1.47618,-0.2061,-5.0709,-4.9238,7.0712,1.928415224,1.443395346,1.890214468,1.509075711,0.967318209,332.157,165.231,1.68,2.76,5.1,2.16,1.76,5.42,8.27,4.3,86,1.345267646
24b,-0.31349,-0.21168,-0.18586,-0.22789,0.2723,0.32385,0.19952,1.07073,-1.01062,0.54274,0.47182,-1.29862,-0.38538,2.08135,-1.55336,-1.48244,-0.0136,-3.7607,-2.6434,4.5968,1.940141519,1.440002575,1.89371726,1.478370428,0.966770014,331.251,165.528,1.68,2.76,5.1,2.16,1.89,5.31,8.39,4.46,62,0.362792392
42,-0.3322,-0.18904,-0.18786,-0.17489,-0.28971,0.38156,0.1467,1.05096,-1.00101,0.54079,0.46891,-1.22585,-0.33456,2.05197,-1.5418,-1.46992,-0.3565,-4.3216,-2.8208,5.173,1.92910395,1.443146205,1.891855928,1.53110988,0.969370295,334.703,187.882,1.69,3.77,8.2,4.32,1.69,3.2,7,4.06,86,1.345267646
