Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_30,diff_NBO_30_31,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(30, 31)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
57,-0.24835,-0.22467,-0.19317,-0.20519,-0.24643,-0.19686,0.7489,1.10282,-0.81323,0.53982,-1.30801,-0.94207,1.91605,-1.35305,-1.9277,-3.4286,-3.5263,5.2826,1.933375585,1.471285744,1.891457302,1.502561225,254.956,86.5265,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.25904,-0.21678,-0.1784,-0.20655,-0.26064,-0.21867,0.75453,1.09985,-0.83289,0.54218,-1.3064,-0.93293,1.93274,-1.37507,-2.8932,-3.3611,-2.2338,4.9656,1.93388332,1.479369786,1.89485047,1.460498976,267.003,86.7793,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
63,-0.24439,-0.27378,0.11618,-0.27358,-0.24135,-0.23981,-0.4351,1.11945,-0.8279,0.54218,-1.39303,0.55128,1.94735,-1.37008,-1.7743,-2.8064,-3.1533,4.5791,1.924412235,1.42848844,1.895180418,1.436288974,271.826,83.0312,1.97,3.62,5.34,1.86,1.69,3.2,6.29,3.99,69.5,0.610350162
31,-0.25622,-0.19257,-0.17512,-0.19871,-0.26804,-0.20976,0.69155,1.09391,-0.80879,0.54129,-1.29262,-0.86667,1.9027,-1.35008,-0.3699,-3.2959,-5.5861,6.4964,1.956507303,1.450693403,1.892172323,1.482032301,264.092,71.2598,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,80,1.027349341
50,-0.21885,-0.25967,0.11002,-0.26346,-0.21751,-0.17648,-0.6027,1.09665,-0.82361,0.53932,-1.36011,0.71272,1.92026,-1.36293,-3.5464,-9.1951,-2.6985,10.2181,1.91995738,1.42683309,1.880143596,1.508144183,267.373,82.7845,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
55,-0.23676,-0.27375,0.10433,-0.28123,-0.23172,-0.23087,-0.60587,1.12495,-0.81697,0.54286,-1.40618,0.7102,1.94192,-1.35983,-1.7821,-5.4715,-3.6609,6.8203,1.923235715,1.427844148,1.889866588,1.541396388,284.836,83.9802,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
60,-0.25886,-0.22664,-0.17041,-0.21187,-0.2562,-0.22254,0.75722,1.11096,-0.83242,0.54131,-1.32283,-0.92763,1.94338,-1.37373,-2.908,-3.3025,-2.3093,4.9694,1.930733573,1.488107104,1.89778477,1.46447873,309.624,88.961,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
62,-0.24759,-0.22083,-0.1927,-0.20094,-0.24992,-0.1903,0.75779,1.10578,-0.80951,0.53962,-1.30672,-0.95049,1.91529,-1.34913,-2.5876,-4.4579,-4.1246,6.6016,1.921839466,1.483749338,1.889655473,1.516238894,298.271,99.1479,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
61,-0.25073,-0.19916,-0.20283,-0.19405,-0.25544,-0.18907,0.74449,1.10251,-0.81118,0.5396,-1.29656,-0.94732,1.91369,-1.35078,-2.0885,-3.9837,-4.6258,6.4521,1.924811027,1.47565596,1.890975906,1.529657539,271.809,93.3793,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
58a,-0.24487,-0.21858,-0.19886,-0.20434,-0.24911,-0.19324,0.75398,1.10764,-0.8125,0.54257,-1.31198,-0.95284,1.92014,-1.35507,-1.7303,-3.3522,-3.808,5.3603,1.932030004,1.47239287,1.89210216,1.490308373,304.66,101.691,1.68,5.4,8.13,5.3,1.69,3.28,6.36,4.01,37,-0.394413054
58b,-0.23638,-0.27017,0.10133,-0.2793,-0.23131,-0.22727,-0.5949,1.1173,-0.81467,0.54094,-1.3966,0.69623,1.93197,-1.35561,-1.9217,-6.2762,-3.5592,7.4667,1.92462576,1.427026163,1.887122923,1.565129548,306.174,111.853,1.68,3.72,8.51,4.21,1.69,3.3,6.27,3.89,59.5,0.285072882
47,-0.23595,-0.27144,0.10049,-0.27995,-0.23077,-0.22903,-0.6042,1.11481,-0.814,0.54186,-1.39476,0.70469,1.92881,-1.35586,-1.8252,-5.2886,-3.7539,6.7373,1.926528238,1.428225905,1.88810416,1.544561746,253.492,82.0087,1.68,3.57,5.28,1.91,1.69,3.3,6.27,3.89,67.6,0.545023945
