Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_30,diff_NBO_30_31,diff_NBO_30_32,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(30, 31)","Dist(30, 32)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
57,-0.24543,-0.22098,-0.19603,-0.18593,-0.2456,-0.19611,0.74905,1.05285,-0.99317,0.53925,0.47241,-1.23878,-0.94508,2.04602,-1.53242,-1.46558,-1.2727,-3.7885,-3.6116,5.3867,1.921177582,1.47220547,1.890599209,1.471149387,0.969260011,244.101,90.3198,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.25482,-0.20383,-0.17411,-0.16737,-0.26618,-0.20882,0.74762,1.05875,-0.99362,0.54042,0.47663,-1.22612,-0.92173,2.05237,-1.53404,-1.47025,-0.0158,-1.9192,-3.4614,3.9578,1.911977567,1.4818224,1.892041953,1.424446796,0.966887954,258.049,91.5112,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
63,-0.2364,-0.27881,0.10734,-0.25416,-0.23013,-0.22672,-0.42783,1.06614,-0.99861,0.54089,0.47263,-1.3203,0.53517,2.06475,-1.5395,-1.47124,-1.456,-5.5245,-4.114,7.0402,1.924653041,1.429954057,1.888862673,1.486585359,0.969372238,261.435,92.9728,1.97,3.62,5.34,1.86,1.69,3.2,6.29,3.99,69.5,0.610350162
31,-0.25705,-0.19799,-0.18955,-0.20151,-0.27018,-0.20866,0.67159,1.0491,-0.99972,0.53779,0.47358,-1.25061,-0.86114,2.04882,-1.53751,-1.4733,-2.9459,-5.2121,-2.7964,6.6078,1.964877027,1.44936165,1.897539329,1.473223713,0.967817847,253.908,89.4942,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,80,1.027349341
50,-0.21026,-0.26472,0.11721,-0.25753,-0.19674,-0.1701,-0.60762,1.05656,-0.99721,0.54157,0.47386,-1.31409,0.72483,2.05377,-1.53878,-1.47107,-0.4145,-8.0669,-3.6134,8.8489,1.920638601,1.423859851,1.888802814,1.487076835,0.96921367,254.434,93.0104,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
55,-0.23358,-0.27074,0.10254,-0.26095,-0.22859,-0.22966,-0.59739,1.07562,-1.00038,0.5425,0.47285,-1.33657,0.69993,2.076,-1.54288,-1.47323,-0.7529,-5.3935,-3.7618,6.6188,1.921443222,1.426518924,1.889993774,1.478457931,0.969327792,275.115,93.131,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
60,-0.26043,-0.22883,-0.17321,-0.19987,-0.25504,-0.22104,0.75522,1.06501,-1.01144,0.53906,0.47558,-1.26488,-0.92843,2.07645,-1.5505,-1.48702,-3.3254,-3.8555,-2.5607,5.6991,1.926722333,1.487657126,1.897342465,1.446197252,0.968295138,299.6,90.8006,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
62,-0.24404,-0.21989,-0.19505,-0.18189,-0.24733,-0.19141,0.75969,1.05269,-0.99266,0.53884,0.47168,-1.23458,-0.95474,2.04535,-1.5315,-1.46434,-1.6011,-4.7119,-4.1574,6.4845,1.911876608,1.482469997,1.889303679,1.480334857,0.969098138,287.776,105.163,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
61,-0.24912,-0.19946,-0.20453,-0.17389,-0.25308,-0.18913,0.74217,1.05017,-0.99235,0.53878,0.47109,-1.22406,-0.9467,2.04252,-1.53113,-1.46344,-1.1793,-4.3586,-4.8035,6.5925,1.91195401,1.476649744,1.889085619,1.490036251,0.969167627,261.126,96.5114,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
58a,-0.24279,-0.21559,-0.2,-0.18351,-0.24736,-0.19321,0.75301,1.05467,-0.99388,0.54068,0.47315,-1.23818,-0.95301,2.04855,-1.53456,-1.46703,-0.8516,-3.6508,-3.9483,5.4445,1.919447438,1.472156808,1.891655606,1.45790195,0.969041047,294.796,109.139,1.68,5.4,8.13,5.3,1.69,3.28,6.36,4.01,37,-0.394413054
