Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_42,NPA_43,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_42,dip_x_1,dip_y_1,dip_z_1,Total_1,-7-30-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 42)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
3,-0.23419,-0.19402,-0.1279,-0.22348,-0.28481,-0.04957,-0.72326,0.24935,1.00708,0.55318,0.52143,-0.80701,-0.61295,0.92229,-1.23056,-0.37725,1.62003,-1.3224,0.458,3.2053,3.4975,3201.1324,1.949301077,1.470107113,1.974684284,1.652458261,296.549,123.083,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,94,1.765869052
7,-0.23531,0.00316,-0.11377,-0.2238,-0.29531,-0.25155,-0.72436,0.24825,1.00703,0.55213,0.52137,-0.80629,-0.6135,0.92151,-1.23083,-0.36202,1.62053,-1.1258,0.4103,3.3311,3.54,3169.6302,1.942886058,1.483722793,1.975337837,1.645315439,294.981,114.151,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,97,2.230876365
8,-0.23725,-0.20744,-0.11404,-0.22968,-0.2848,-0.26236,-0.72434,0.25231,1.00672,0.55203,0.52096,-0.80615,-0.61278,0.92109,-1.2364,-0.36635,1.6195,-1.3312,0.7749,3.1534,3.5095,3176.9431,1.939955319,1.483518698,1.974345609,1.646352928,294.321,114.366,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,94,1.765869052
2,-0.32154,-0.17805,-0.14355,-0.21553,-0.31891,0.33433,-0.72729,0.2515,1.00877,0.5509,0.53173,-0.81449,-0.62001,0.92581,-1.2243,-0.39505,1.62878,-2.24,1.4983,2.6752,3.7973,2984.0128,1.942708948,1.4675438,1.979822296,1.592538898,301.597,137.275,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,95,1.889669976
4,-0.21581,-0.19765,-0.1053,-0.22783,-0.24895,-0.17271,-0.72647,0.24374,1.0048,0.54916,0.52273,-0.80017,-0.62048,0.91897,-1.23263,-0.34904,1.62528,0.6018,-3.8954,2.8598,4.8697,2867.7683,1.945278481,1.474027695,1.971448386,1.548521547,293.663,120.987,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,95,1.889669976
1,-0.23674,-0.20254,-0.11884,-0.23473,-0.28469,-0.26184,-0.72422,0.24787,1.00639,0.55213,0.52151,-0.80601,-0.61377,0.92155,-1.24112,-0.36671,1.62016,-1.4658,0.4501,3.2459,3.5899,3159.2369,1.950688697,1.472350509,1.974023341,1.640806913,282.573,110.476,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,94,1.765869052
9,-0.21593,-0.0522,-0.08516,-0.23546,-0.28899,-0.26427,-0.72369,0.23854,1.0072,0.55202,0.52157,-0.80557,-0.61419,0.92186,-1.24266,-0.3237,1.62139,-0.8346,0.7102,3.2076,3.3896,3163.0495,1.961497359,1.43105798,1.973109277,1.644666641,304.405,134.846,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,96.5,2.128629495
30,-0.26545,-0.22554,-0.14739,-0.23213,-0.27254,-0.225,-0.71513,0.07371,1.00146,0.54992,0.51968,-0.78854,-0.65176,0.92439,-1.23359,-0.2211,1.65322,-0.3162,-0.3562,1.9509,2.0082,2981.8594,1.942323439,1.458928644,1.963066056,1.60036205,275.1,89.706,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,84.5,1.088395136
33,-0.22551,-0.24891,0.11698,-0.28114,-0.26511,-0.28558,-0.72638,-0.14905,0.97964,0.55227,0.52139,-0.80628,-0.61051,0.92112,-1.26078,0.26603,1.59015,-1.7835,1.3229,3.0394,3.7642,3149.7015,1.959542671,1.423855043,1.977636085,1.637707274,265.782,93.5944,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,94,1.765869052
29,-0.22756,-0.25409,0.26673,-0.31933,-0.2855,-0.27133,-0.72307,-0.52369,1.00031,0.55398,0.51902,-0.8097,-0.62467,0.92634,-1.31964,0.79042,1.62498,1.1381,1.2085,4.1441,4.4643,3230.0916,1.944654283,1.404651326,1.981321112,1.671326339,281.594,91.9394,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,29,-0.574635903
28,-0.23701,-0.20113,-0.12083,-0.23387,-0.29555,-0.25095,-0.71808,0.27588,1.02397,0.55155,0.51997,-0.8065,-0.6229,0.92196,-1.25784,-0.39671,1.64687,-0.699,1.9569,3.1207,3.7493,3212.2619,1.95193906,1.471806257,1.976268302,1.658006329,328.358,162.493,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,65.5,0.411436637
5,-0.19934,-0.20608,-0.08829,-0.23366,-0.22587,-0.17176,-0.73244,0.23947,1.00783,0.54987,0.53725,-0.81659,-0.62653,0.9205,-1.24149,-0.32776,1.63436,-1.4184,-1.6935,2.0112,2.9874,2603.5747,1.946088404,1.474667453,1.969179043,1.486257282,300.499,137.538,1.7,3.23,6.29,3.85,1.7,3.17,7.8,4.09,95,1.889669976
41,-0.26318,-0.19569,-0.15384,-0.22968,-0.29494,-0.15463,-0.73195,0.50387,1.02216,0.55173,0.52408,-0.78547,-0.65649,0.92862,-1.25184,-0.65771,1.67865,-0.9996,-4.0832,1.566,4.486,2950.714,1.960082182,1.460818822,2.009042345,1.594297367,392.395,166.52,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,70,0.543775347
35,-0.24359,-0.2426,0.0983,-0.27076,-0.26402,-0.04988,-0.70999,-0.14664,0.9794,0.54833,0.52213,-0.79018,-0.6542,0.92127,-1.25016,0.24494,1.6336,-0.6848,-0.5742,1.8392,2.0448,2982.7904,1.936001655,1.423965708,1.968270952,1.594929696,277.503,86.9954,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,95,1.889669976
43,-0.25241,-0.22953,-0.13857,-0.2419,-0.27647,-0.23581,-0.70785,0.21117,1.01207,0.55158,0.52889,-0.78164,-0.66677,0.91293,-1.25397,-0.34974,1.67884,-0.139,-3.2282,2.684,4.2006,2819.9321,1.938470628,1.46700596,1.985960349,1.566100432,282.409,86.2834,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,58.5,0.220343055
40,-0.24918,-0.04583,0.11594,-0.2678,-0.27039,-0.2462,-0.7109,-0.14893,0.97412,0.54877,0.51954,-0.79199,-0.64818,0.92117,-1.24192,0.26487,1.6223,-0.8602,-0.5201,2.1567,2.3795,3066.3066,1.926814071,1.434728298,1.965698032,1.630136456,275.75,83.8644,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,84.5,1.088395136
27,-0.26523,-0.21872,-0.13311,-0.23435,-0.27538,-0.22129,-0.71451,0.27973,0.99954,0.54985,0.51984,-0.78875,-0.6565,0.92508,-1.23389,-0.41284,1.65604,-1.3178,1.6556,1.4752,2.5795,2981.7946,1.939231749,1.467238634,1.975392371,1.59943766,275.776,88.085,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,41.5,-0.220343055
