Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,NPA_42,NPA_43,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_42,dip_x_1,dip_y_1,dip_z_1,Total_1,-7-30-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 42)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
3,-0.23523,-0.19425,-0.12738,-0.22482,-0.28275,-0.05266,-0.72026,0.24918,1.00637,0.55496,0.52151,-0.99015,0.51861,-0.61097,0.92243,-1.23119,-0.37656,1.61734,-1.4293,0.8533,3.5401,3.9121,3332.4768,1.949511507,1.470221188,1.975027162,1.696171163,285.315,120.074,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,94,1.765869052
7,-0.23507,0.00311,-0.11364,-0.22337,-0.29369,-0.25262,-0.7212,0.24833,1.0056,0.55388,0.52097,-0.98878,0.5182,-0.61176,0.92248,-1.22897,-0.36197,1.61736,-1.1879,0.9764,3.7893,4.0894,3310.9314,1.942237083,1.483727877,1.975433754,1.686125044,283.773,111.48,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,97,2.230876365
8,-0.23697,-0.20735,-0.1139,-0.22932,-0.28316,-0.26337,-0.721,0.2524,1.00576,0.55389,0.52059,-0.98887,0.51835,-0.61104,0.92196,-1.23508,-0.3663,1.6168,-1.4104,1.3875,3.6111,4.1176,3312.7474,1.93939784,1.483556735,1.974473813,1.687065407,283.061,111.203,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,94,1.765869052
2,-0.32109,-0.1781,-0.14343,-0.21593,-0.31799,0.33464,-0.72551,0.25151,1.00812,0.55235,0.5315,-0.9981,0.51563,-0.61822,0.92604,-1.22405,-0.39494,1.62634,-2.1564,2.1034,2.8799,4.1675,3116.0869,1.942805659,1.467555593,1.980489821,1.625899399,290.51,133.967,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,95,1.889669976
4,-0.21581,-0.19768,-0.10608,-0.22712,-0.24554,-0.16898,-0.72196,0.24458,1.00215,0.55146,0.52734,-0.99186,0.52206,-0.61685,0.92102,-1.22927,-0.35066,1.619,0.9941,-3.177,3.971,5.1817,3109.3364,1.943166032,1.473584522,1.970506299,1.605816404,283.227,116.388,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,95,1.889669976
1,-0.23657,-0.20265,-0.11854,-0.23445,-0.28232,-0.26377,-0.72097,0.24794,1.00511,0.55393,0.52116,-0.98863,0.51842,-0.61229,0.92271,-1.23956,-0.36648,1.6174,-1.6128,1.0272,3.7141,4.1774,3298.197,1.950128838,1.47235242,1.974159267,1.681635291,271.367,107.153,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,94,1.765869052
9,-0.21563,-0.05224,-0.08484,-0.23517,-0.28646,-0.26553,-0.72036,0.23848,1.0061,0.554,0.52121,-0.98858,0.5182,-0.61241,0.92298,-1.24127,-0.32332,1.61851,-0.9187,1.2936,3.6986,4.0246,3308.7189,1.96102163,1.430956317,1.972728885,1.686364449,293.207,132.409,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,96.5,2.128629495
30,-0.24044,-0.19185,-0.15183,-0.22384,-0.29848,-0.21988,-0.69183,0.07805,1.01509,0.55098,0.52412,-0.97862,0.51583,-0.65707,0.91572,-1.23893,-0.22988,1.67216,0.0832,-0.9869,1.1792,1.54,3028.8725,1.941883473,1.456733716,1.964027654,1.6104641,265.311,94.2773,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,84.5,1.088395136
33,-0.22527,-0.2489,0.11722,-0.28139,-0.26355,-0.28669,-0.723,-0.14898,0.97885,0.5539,0.52096,-0.98849,0.5185,-0.60889,0.92204,-1.26024,0.2662,1.58774,-1.9294,1.8908,3.5002,4.4214,3292.5297,1.959836818,1.423903069,1.977455683,1.679455779,254.61,90.1031,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,94,1.765869052
29,-0.27191,-0.25969,0.26625,-0.30511,-0.27202,-0.27211,-0.71202,-0.52082,1.00229,0.55155,0.52438,-0.98603,0.51782,-0.64043,0.92248,-1.3074,0.78707,1.64272,-1.6203,0.3744,4.8692,5.1454,3203.1058,1.921256625,1.401251594,1.987656002,1.645251281,268.28,73.723,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,29,-0.574635903
