Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,NPA_35,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_7,dip_x_1,dip_y_1,dip_z_1,Total_1,-32-30-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 7)","Dist(33, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.26509,-0.20639,-0.17073,-0.23431,-0.27831,-0.23655,-0.66379,-0.49705,0.18665,1.02237,0.55167,0.92547,-0.71747,-0.78634,0.52389,-1.25668,-0.35738,1.68616,-1.8694,-0.3803,0.8502,2.0886,2889.4144,1.947013879,1.4512445,1.984812402,1.568424303,307.294,127.193,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.25777,-0.17323,-0.17702,-0.21212,-0.32624,-0.02761,-0.67047,-0.49952,0.19169,1.02511,0.54763,0.91487,-0.6949,-0.79638,0.52355,-1.23723,-0.36871,1.69558,0.2491,-3.3987,0.7621,3.492,2875.7898,1.946824019,1.449388776,1.968298398,1.56905524,320.552,158.011,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.25906,-0.17316,-0.17888,-0.21624,-0.31093,-0.11454,-0.67121,-0.4962,0.19113,1.02338,0.54661,0.91678,-0.69668,-0.78882,0.52121,-1.23962,-0.37001,1.69459,1.8044,-4.3246,0.3779,4.7012,2805.9617,1.9395954,1.450800801,1.969722355,1.558337319,328.406,165.455,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.25143,-0.1961,-0.17679,-0.22405,-0.27201,-0.03768,-0.66505,-0.50293,0.18601,1.02612,0.55146,0.92566,-0.71777,-0.78516,0.52545,-1.25017,-0.3628,1.69117,-0.7027,-2.7132,1.0176,2.9817,2867.6141,1.94564457,1.447299368,1.987022492,1.560896597,387.58,256.59,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.33596,-0.15784,-0.20065,-0.20481,-0.36049,0.37641,-0.66859,-0.51442,0.19082,1.02686,0.54824,0.91466,-0.69611,-0.80079,0.52637,-1.23167,-0.39147,1.69545,-1.5624,-0.1444,0.5391,1.6591,2917.8726,1.945449361,1.441611866,1.97134254,1.583345547,328.35,167.162,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.29054,-0.16891,-0.1985,-0.21026,-0.33031,0.20222,-0.66906,-0.50986,0.1873,1.02715,0.54736,0.91638,-0.69683,-0.79418,0.52453,-1.23741,-0.3858,1.69621,0.1606,-5.3014,0.2874,5.3115,2857.6794,1.944218589,1.442820717,1.970024043,1.566578241,353.229,205.61,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.23873,-0.22802,-0.12256,-0.2408,-0.24106,-0.09825,-0.65807,-0.4861,0.24277,1.00788,0.55156,0.92634,-0.71263,-0.78293,0.51837,-1.24868,-0.36533,1.66595,-0.5952,-6.0696,0.947,6.1717,2961.34,1.935860723,1.471763841,1.972499828,1.603705372,387.331,254.78,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.23265,-0.18669,-0.17224,-0.18455,-0.24952,-0.04486,-0.66519,-0.49854,0.1881,1.02697,0.54795,0.91206,-0.70577,-0.81167,0.53965,-1.21152,-0.36034,1.69216,-1.0949,-0.4101,-0.8508,1.446,2563.9207,1.923821412,1.450221727,1.9599745,1.502670432,375.114,236.099,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.03106,-0.00235,-0.1647,-0.21195,-0.28976,-0.02416,-0.66758,-0.50896,0.18513,1.02778,0.5483,0.91632,-0.69883,-0.79535,0.52648,-1.23973,-0.34983,1.69536,1.1314,-2.0278,0.5734,2.3918,2826.7232,1.938966019,1.443220726,1.972649848,1.555008457,452.701,354.158,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.04209,-0.03161,-0.01593,-0.27201,-0.23395,-0.07517,-0.66751,-0.50461,-0.13626,1.05092,0.56097,0.91847,-0.69396,-0.79371,0.51164,-1.32293,0.12033,1.71843,0.4488,-1.0429,1.1671,1.6282,3336.7321,1.925445858,1.415446283,1.974904164,1.740749113,437.593,302.408,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
28,-0.26112,-0.22229,-0.13328,-0.23389,-0.27509,-0.23551,-0.66472,-0.50075,0.27589,1.02887,0.55178,0.92382,-0.71012,-0.78507,0.52464,-1.26276,-0.40917,1.69359,-1.5337,-1.9172,1.1611,2.7158,2963.4752,1.9246719,1.472546213,1.975066977,1.592854395,324.792,148.103,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,88.5,1.512280624
29,-0.24708,-0.28904,0.25788,-0.32075,-0.258,-0.24766,-0.65464,-0.5496,-0.51549,1.00275,0.55581,0.91581,-0.70042,-0.80154,0.5214,-1.3235,0.77337,1.65739,0.3504,-1.7932,3.1627,3.6526,3286.5556,1.912177218,1.40284351,1.968369715,1.682848318,277.662,68.7114,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,73,0.73709082
31,-0.27153,-0.21526,-0.17622,-0.2291,-0.27574,-0.21694,-0.65112,-0.57737,0.68084,1.01012,0.55103,0.92294,-0.71678,-0.78938,0.52099,-1.23922,-0.85706,1.66124,-0.3075,-1.003,1.8737,2.1474,2968.9661,1.952357705,1.457013995,1.973663244,1.595136879,260.989,78.4137,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,88,1.476541977
30,-0.26549,-0.2255,-0.14737,-0.23213,-0.27255,-0.22503,-0.65176,-0.51632,0.07371,1.00146,0.54992,0.92439,-0.71513,-0.78856,0.51969,-1.23359,-0.22108,1.65322,-0.3159,-0.3564,1.9506,2.0079,2981.8609,1.942321846,1.458928516,1.963058717,1.600361103,275.099,89.7029,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,86.5,1.376514935
33,-0.24526,-0.24985,0.10869,-0.27947,-0.26572,-0.2604,-0.6539,-0.33178,-0.14868,0.97721,0.54842,0.9217,-0.70983,-0.7911,0.52104,-1.25668,0.25737,1.63111,-0.9343,-0.4535,1.9171,2.1804,2996.8089,1.937179047,1.423897059,1.96745039,1.598946735,264.078,78.5245,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,85,1.285471038
37,-0.21093,-0.24901,0.13216,-0.28077,-0.22654,-0.19251,-0.65414,-0.32986,-0.15283,0.97417,0.54633,0.92177,-0.70914,-0.78964,0.51792,-1.25494,0.28499,1.62831,-1.7193,-4.3436,2.0158,5.0879,3013.4874,1.93700207,1.42035418,1.969885574,1.605203308,281.088,96.6022,1.69,3.08,5.44,1.88,1.7,3.15,7.7,4.01,86.5,1.376514935
38a,-0.25761,-0.17688,-0.17296,-0.22425,-0.28127,0.18329,-0.69279,-0.49829,0.18015,1.03164,0.54557,0.92913,-0.69667,-0.8196,0.53923,-1.25589,-0.35311,1.72443,-1.7955,0.2705,0.7027,1.947,2687.4893,1.947274709,1.448667732,1.983187624,1.542805935,362.785,228.237,1.68,2.76,5.09,2.16,1.86,3.17,9.71,4.09,78.5,0.95972715
38b,-0.19657,-0.24862,0.11569,-0.26961,-0.21875,-0.1138,-0.67247,-0.33398,-0.15318,0.9953,0.54626,0.92818,-0.69858,-0.82699,0.53456,-1.26491,0.26887,1.66777,-1.7076,-3.6313,-0.1346,4.0149,2685.6316,1.928860874,1.423656827,1.974247979,1.531269057,363.281,213.236,1.69,3.08,5.44,1.87,1.75,3.15,9.31,4.01,78,0.937954847
