Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,NPA_34,NPA_35,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_7,dip_x_1,dip_y_1,dip_z_1,Total_1,-32-30-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 7)","Dist(33, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.27399,-0.20268,-0.17358,-0.23392,-0.26688,-0.23063,-0.65886,-0.49961,0.18782,1.02097,0.55483,0.92515,-0.71437,-0.97429,0.51232,0.52061,-1.25489,-0.3614,1.67983,-2.3509,0.0887,1.8863,3.0154,3121.4239,1.946818324,1.450699923,1.986290581,1.630689314,297.209,129.14,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.2612,-0.17105,-0.17754,-0.21538,-0.31777,-0.03857,-0.66706,-0.49775,0.19295,1.02256,0.54746,0.91762,-0.69577,-0.97225,0.51723,0.52163,-1.23794,-0.37049,1.68962,0.8665,-2.4095,0.9204,2.721,2976.1658,1.941645432,1.449862361,1.970888912,1.59197226,310.278,152.898,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.256,-0.17543,-0.17426,-0.21456,-0.29261,-0.09727,-0.68402,-0.50144,0.18123,1.02196,0.54704,0.93259,-0.69058,-0.98028,0.51753,0.51188,-1.23652,-0.35549,1.70598,0.0652,-2.2102,2.3656,3.2381,3138.3085,1.928850494,1.452074412,1.992647173,1.653610909,318.802,175.639,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.26481,-0.20847,-0.17267,-0.22284,-0.26599,-0.01466,-0.66087,-0.4915,0.18811,1.02221,0.55289,0.9234,-0.70784,-0.97131,0.51308,0.51947,-1.24505,-0.36078,1.68308,-0.0451,-1.0531,2.1827,2.4239,3124.4131,1.935380151,1.45057572,1.970679249,1.639302769,374.313,249.642,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.34674,-0.17584,-0.20897,-0.21122,-0.34574,0.37927,-0.66838,-0.5111,0.18617,1.02396,0.54646,0.91695,-0.69723,-0.96681,0.51201,0.52293,-1.23518,-0.39514,1.69234,-1.6609,-0.7835,0.023,1.8365,2935.4607,1.942102669,1.442128717,1.9726046,1.585860603,318.558,160.535,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.29395,-0.17108,-0.2015,-0.21302,-0.3268,0.20602,-0.66564,-0.50963,0.18626,1.02568,0.54753,0.91663,-0.69667,-0.9727,0.51505,0.52318,-1.2387,-0.38776,1.69132,-0.1096,-5.3266,0.5767,5.3589,2976.6115,1.943654682,1.442698469,1.970363544,1.593116664,344.193,208.979,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.24531,-0.22763,-0.11622,-0.23065,-0.23874,-0.09307,-0.65246,-0.48782,0.24631,1.00216,0.55231,0.92397,-0.70801,-0.97147,0.51194,0.51818,-1.23281,-0.36253,1.65462,-1.2794,-5.9855,2.7595,6.714,3176.2987,1.92037529,1.471594327,1.965051311,1.658220982,377.481,255.268,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.22858,-0.18834,-0.17024,-0.21759,-0.2477,-0.04134,-0.6806,-0.5013,0.17905,1.02996,0.54452,0.93042,-0.70205,-1.00201,0.50784,0.53229,-1.24755,-0.34929,1.71056,-2.2309,1.9208,0.4991,2.9858,2732.2953,1.927418571,1.45209129,1.982275307,1.537324226,368.663,251.857,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.03307,-0.00522,-0.16843,-0.21452,-0.29262,-0.01832,-0.66694,-0.50924,0.18334,1.02658,0.54741,0.9166,-0.69808,-0.97158,0.5154,0.5252,-1.2411,-0.35177,1.69352,1.0869,-2.2478,0.4372,2.5348,2928.3975,1.939792384,1.442763408,1.972706489,1.579380328,445.437,362.384,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.02065,-0.02826,-0.04295,-0.28561,-0.2223,-0.05963,-0.66694,-0.50595,-0.14193,1.05667,0.55316,0.91785,-0.70185,-0.96998,0.51426,0.51741,-1.34228,0.09898,1.72361,0.2196,-0.4082,2.8145,2.8525,3280.6648,1.93010866,1.417975282,1.983934397,1.706851714,427.829,302.681,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
