Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,NPA_35,NPA_36,NPA_37,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_33,diff_NBO_10_35,dip_x_1,dip_z_1,Total_1,-30-32-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 33)","Dist(10, 35)","Dist(36, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
57,-0.2454,-0.19367,-0.19256,-0.23037,-0.29342,-0.20949,0.73384,1.03398,0.54915,0.91567,-0.6931,-0.67542,-0.66427,-0.79736,0.5223,-1.26435,-0.9264,1.7094,1.69825,-2.8793,0.1958,3.0885,2972.4228,1.930893551,1.476004878,1.956650512,1.964362645,1.605358521,254.849,73.8536,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.24923,-0.20669,-0.19216,-0.21881,-0.2995,-0.20789,0.73985,1.03469,0.54665,0.9141,-0.69509,-0.68704,-0.66312,-0.78666,0.52221,-1.2535,-0.93201,1.72173,1.69781,-3.6225,-0.7734,4.2553,2880.8121,1.924815558,1.484972816,1.951472475,1.957334565,1.581304628,266.524,72.9126,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
63,-0.22849,-0.28483,0.09726,-0.29267,-0.2516,-0.2316,-0.43131,1.0167,0.5478,0.92008,-0.70383,-0.65291,-0.63621,-0.80294,0.50879,-1.30937,0.52857,1.66961,1.65291,-2.3761,2.5246,3.591,3496.7415,1.920284805,1.426886069,1.940459842,1.959683986,1.891502265,270.894,66.0182,1.97,3.62,5.34,1.86,1.69,3.2,6.29,3.99,69.5,0.610350162
31,-0.24902,-0.18702,-0.18525,-0.21947,-0.30268,-0.207,0.68212,1.01945,0.54784,0.91347,-0.69413,-0.60563,-0.65953,-0.78833,0.52462,-1.23892,-0.86737,1.62508,1.67898,-0.6678,0.2584,2.9782,2794.7291,1.954356734,1.453216881,1.998972404,1.95876452,1.559621082,261.18,77.1444,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,80,1.027349341
50,-0.20713,-0.24307,0.11355,-0.26542,-0.22449,-0.18246,-0.59909,1.03143,0.54977,0.91173,-0.69496,-0.65477,-0.65485,-0.79769,0.52038,-1.29685,0.71264,1.6862,1.68628,-0.7273,0.1307,6.8876,2975.4796,1.916658214,1.425273548,1.946676254,1.952547494,1.595418995,264.743,80.8993,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
55,-0.247,-0.27303,0.10077,-0.29559,-0.26125,-0.25411,-0.60401,1.03935,0.5491,0.92691,-0.70405,-0.65166,-0.66712,-0.78978,0.52471,-1.33494,0.70478,1.69101,1.70647,-2.28,0.9535,2.7839,3141.3733,1.917501838,1.426141739,1.935467992,1.980799122,1.640223894,283.845,71.6675,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
60,-0.24825,-0.20312,-0.18234,-0.22369,-0.29627,-0.2155,0.74401,1.04818,0.54799,0.91859,-0.69058,-0.69957,-0.67281,-0.79443,0.52377,-1.27187,-0.92635,1.74775,1.72099,-1.2076,-0.2049,1.2281,2923.2493,1.917403991,1.496524394,1.947892371,1.966468821,1.585485138,309.171,78.4441,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
62,-0.2466,-0.2059,-0.18589,-0.24369,-0.28449,-0.20913,0.73699,1.04045,0.54756,0.91616,-0.69632,-0.69388,-0.67278,-0.80291,0.52569,-1.28414,-0.92288,1.73433,1.71323,-1.197,1.7109,2.106,2993.4763,1.932787434,1.483080762,1.953423376,1.989352217,1.612289018,297.743,95.8011,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
61,-0.25284,-0.18977,-0.19971,-0.23303,-0.29318,-0.20573,0.71572,1.03522,0.54823,0.91655,-0.69631,-0.68428,-0.66586,-0.80522,0.52588,-1.26825,-0.91543,1.7195,1.70108,-1.111,2.1979,2.5736,3029.2981,1.925839554,1.482056037,1.94377163,1.978696626,1.626079037,271.109,85.5295,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
58a,-0.24463,-0.19731,-0.19118,-0.2311,-0.29415,-0.20989,0.73997,1.03444,-0.69197,0.91598,0.54959,-0.66843,-0.66437,-0.79712,0.52223,-1.26554,-0.93115,1.70287,1.69881,-1.1695,0.2076,1.613,2966.2818,1.930342796,1.477108978,1.953202939,1.964459309,2.577998879,310.576,127.211,1.68,5.4,8.13,5.3,1.69,3.28,6.36,4.01,37,-0.394413054
58b,-0.23276,-0.27868,0.09542,-0.29342,-0.25142,-0.23379,-0.59108,1.02169,0.54997,0.91906,-0.70753,-0.6615,-0.63918,-0.79566,0.50962,-1.31511,0.6865,1.68319,1.66087,-2.1212,2.5117,3.3246,3392.2808,1.9182894,1.423682279,1.942343519,1.959261111,1.798928422,307.28,96.3646,1.68,3.72,8.51,4.21,1.69,3.3,6.27,3.89,59.5,0.285072882
47,-0.2298,-0.2821,0.08884,-0.2964,-0.24943,-0.23304,-0.60493,1.01574,0.54771,0.92061,-0.70627,-0.65282,-0.63835,-0.8008,0.51064,-1.31214,0.69377,1.66856,1.65409,-2.8634,2.694,4.1038,3420.1595,1.919338357,1.426911098,1.94465847,1.959078075,1.813684158,253.362,61.956,1.68,3.57,5.28,1.91,1.69,3.3,6.27,3.89,67.6,0.545023945
49,-0.22597,-0.27523,0.0784,-0.28681,-0.2473,-0.02609,-0.6029,1.01728,0.54804,0.9204,-0.70632,-0.65506,-0.63858,-0.8005,0.51103,-1.30409,0.6813,1.67234,1.65586,-2.6691,2.6411,3.9869,3413.8441,1.918608434,1.427080502,1.94396766,1.95935888,1.810574324,266.592,67.7019,1.68,3.57,5.26,1.91,1.79,3.3,7.21,3.89,65.5,0.475096955
48,-0.32026,-0.22367,0.06764,-0.25956,-0.34183,0.34067,-0.58892,1.04233,0.54661,0.91517,-0.69387,-0.66964,-0.67249,-0.78653,0.52274,-1.30189,0.65656,1.71197,1.71482,-3.6135,-0.1979,5.1337,2839.6386,1.926396378,1.427975506,1.942544848,1.961661058,1.575319596,272.325,94.0536,1.68,3.57,5.23,1.91,1.76,3.31,8.3,3.89,55.5,0.163699095
52,-0.23054,-0.07287,0.09484,-0.28817,-0.25856,-0.22645,-0.60443,1.01693,0.54757,0.92026,-0.7055,-0.65647,-0.63756,-0.80052,0.51014,-1.3051,0.69927,1.6734,1.65449,-2.5398,2.5956,3.8259,3455.6446,1.918787264,1.428356348,1.944795393,1.959718796,1.844163493,265.196,70.8915,1.68,3.57,5.26,1.93,1.75,4.39,6.27,1.92,60,0.30048042
53,-0.22682,-0.06616,0.08504,-0.27925,-0.2563,-0.0199,-0.60206,1.01873,0.5479,0.92006,-0.70567,-0.65834,-0.63764,-0.80013,0.51056,-1.29798,0.6871,1.67707,1.65637,-2.3623,2.5505,3.7269,3450.7285,1.918114114,1.428343886,1.943956707,1.960097393,1.84031453,278.517,73.6583,1.68,3.57,5.24,1.92,1.8,4.39,7.22,1.93,64.5,0.442520525
54,-0.23827,-0.06888,0.10019,-0.28759,-0.26146,-0.23182,-0.60218,1.03366,0.54775,0.91904,-0.70617,-0.66288,-0.64513,-0.79835,0.5169,-1.32125,0.70237,1.69654,1.67879,-1.6284,2.3302,2.8556,3361.0546,1.915288578,1.42692559,1.942659391,1.965159293,1.773333235,295.941,70.944,2.14,3.7,6.66,4.39,1.75,4.39,6.27,1.91,77.5,0.916534977
56,-0.2317,-0.28741,0.10088,-0.29863,-0.25094,-0.23954,-0.64176,1.02001,0.5518,0.92134,-0.70742,-0.70285,-0.6351,-0.80102,0.50981,-1.31864,0.74264,1.72286,1.65511,-1.2778,2.3834,2.78,3516.7293,1.920224103,1.423523853,1.944688728,1.960719235,1.940901485,311.183,121.387,1.68,5.78,9.02,5.73,1.69,3.3,6.27,3.89,51.5,0.044477901
51,-0.22057,-0.27184,0.12145,-0.29226,-0.21488,-0.18925,-0.60517,1.02264,0.54902,0.92971,-0.70409,-0.63921,-0.6675,-0.78965,0.52023,-1.3149,0.72662,1.66185,1.69014,-3.9072,0.9982,7.1918,3145.9816,1.921156583,1.422536538,1.941274199,1.976769354,1.636448049,268.714,83.7738,1.68,3.57,5.33,1.9,1.69,3.31,7.63,3.9,49.5,-0.014822012
