Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,NPA_35,NPA_36,NPA_37,NPA_38,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_33,diff_NBO_10_35,dip_x_1,dip_y_1,dip_z_1,Total_1,-30-32-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 33)","Dist(10, 35)","Dist(36, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
57,-0.2499,-0.20405,-0.19558,-0.2306,-0.29427,-0.20477,0.73248,1.03173,0.54931,0.9147,-0.69316,-0.67427,-0.66307,-0.96977,0.51192,0.52073,-1.26233,-0.92806,1.706,1.6948,-4.0562,-1.8218,-0.3241,4.4584,3018.8478,1.934040044,1.476500805,1.958553216,1.962369652,1.613560293,244.28,74.7908,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.25768,-0.20906,-0.19222,-0.22225,-0.29714,-0.20594,0.73987,1.03446,0.54834,0.91607,-0.69387,-0.68712,-0.66501,-0.9676,0.51171,0.52102,-1.25671,-0.93209,1.72158,1.69947,-3.7034,-2.0875,-0.9867,4.3642,2993.4101,1.926528272,1.485132535,1.951357056,1.965283987,1.603427792,256.139,75.9439,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
63,-0.22872,-0.28465,0.09671,-0.29242,-0.25158,-0.23123,-0.43026,1.01536,0.5479,0.91813,-0.70055,-0.65744,-0.63593,-0.98662,0.51165,0.51022,-1.30778,0.52697,1.6728,1.65129,-2.6678,-0.7825,2.9807,4.0761,3549.1071,1.920499178,1.426862197,1.942536482,1.960685312,1.951269613,260.569,68.9186,1.97,3.62,5.34,1.86,1.69,3.2,6.29,3.99,69.5,0.610350162
31,-0.25794,-0.19289,-0.18587,-0.22014,-0.29915,-0.20458,0.68176,1.01907,0.54942,0.91476,-0.69235,-0.60575,-0.66237,-0.968,0.51495,0.5231,-1.23921,-0.86763,1.62482,1.68144,-0.6653,-2.9283,0.0391,3.0031,2912.518,1.953873253,1.453455378,2.000047519,1.969333993,1.583086541,250.797,79.1786,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,80,1.027349341
50,-0.20968,-0.27291,0.104,-0.29576,-0.22287,-0.16549,-0.60632,1.00968,0.54621,0.9198,-0.70197,-0.65141,-0.63764,-0.98495,0.51409,0.51057,-1.30544,0.71032,1.66109,1.64732,-1.4127,-6.7507,3.3531,7.6688,3527.7351,1.919069849,1.423843335,1.946939304,1.961100552,1.888292618,254.519,66.8407,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
55,-0.23029,-0.24683,0.10144,-0.27746,-0.29688,-0.23735,-0.60023,1.04751,0.54819,0.91299,-0.69544,-0.66233,-0.66079,-0.97041,0.51273,0.52063,-1.32497,0.70167,1.70984,1.7083,-2.7538,-1.5698,1.1617,3.376,3032.2574,1.920497413,1.426771791,1.945740491,1.956405365,1.615468017,275.013,70.9397,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
60,-0.26407,-0.21986,-0.18378,-0.22134,-0.29506,-0.20595,0.74256,1.04624,0.54716,0.92002,-0.68981,-0.69988,-0.67886,-0.96512,0.51256,0.52213,-1.26758,-0.92634,1.74612,1.7251,-1.8066,-1.221,-1.1947,2.4863,2929.0314,1.920892831,1.496705269,1.949792329,1.972280953,1.586701956,298.102,82.3047,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
62,-0.24234,-0.20599,-0.18916,-0.24555,-0.2864,-0.20839,0.73597,1.04035,0.54535,0.91756,-0.69647,-0.69625,-0.6748,-0.97665,0.51738,0.5257,-1.2859,-0.92513,1.7366,1.71515,-0.9827,0.0852,2.3113,2.5129,3038.9574,1.934537038,1.482747694,1.955401952,1.992986261,1.621174851,287.593,100.125,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
61,-0.27844,-0.21398,-0.18911,-0.23453,-0.27697,-0.21609,0.7197,1.01569,0.54924,0.92035,-0.70914,-0.66084,-0.63948,-0.97893,0.51101,0.51641,-1.25022,-0.90881,1.67653,1.65517,-1.853,0.7819,3.6413,4.1598,3335.5577,1.928713957,1.486567432,1.937195448,1.967561966,1.732508714,262.283,79.9886,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
58a,-0.23993,-0.19696,-0.19184,-0.2309,-0.29658,-0.20815,0.73978,1.03329,-0.69208,0.91595,0.54928,-0.66891,-0.66152,-0.97407,0.51352,0.52038,-1.26419,-0.93162,1.7022,1.69481,-1.1097,1.6875,0.667,2.1269,3062.9402,1.930421624,1.477096154,1.952671213,1.964148154,2.596102575,300.252,130.474,1.68,5.4,8.13,5.3,1.69,3.28,6.36,4.01,37,-0.394413054
58b,-0.23301,-0.28093,0.0935,-0.29274,-0.25093,-0.23365,-0.5909,1.02095,0.55102,0.91734,-0.70386,-0.66405,-0.63948,-0.97996,0.51081,0.51122,-1.31369,0.6844,1.685,1.66043,-2.372,-0.2357,2.828,3.6986,3459.9982,1.918691275,1.423515392,1.943763585,1.959784778,1.837281368,297.383,100.722,1.68,3.72,8.51,4.21,1.69,3.3,6.27,3.89,59.5,0.285072882
47,-0.23003,-0.24535,0.09683,-0.27522,-0.29546,-0.23604,-0.59428,1.03623,0.54771,0.91248,-0.69482,-0.66201,-0.65995,-0.9698,0.51288,0.51995,-1.31145,0.69111,1.69824,1.69618,-3.5256,-2.5873,1.0949,4.5081,3031.9684,1.923574963,1.427763444,1.942769029,1.957148111,1.61544614,243.61,73.2814,1.68,3.57,5.28,1.91,1.69,3.3,6.27,3.89,67.6,0.545023945
49,-0.22593,-0.27548,0.07848,-0.28772,-0.24697,-0.02575,-0.6018,1.01568,0.54834,0.91848,-0.7027,-0.65911,-0.63726,-0.98435,0.51188,0.51187,-1.3034,0.68028,1.67479,1.65294,-2.951,-1.2051,3.1117,4.4545,3502.3128,1.919152078,1.42718227,1.945591494,1.960378053,1.875678872,256.245,70.5859,1.68,3.57,5.26,1.91,1.79,3.3,7.21,3.89,65.5,0.475096955
48,-0.31862,-0.22235,0.06865,-0.25408,-0.33977,0.34129,-0.58937,1.03661,0.54816,0.91144,-0.69452,-0.66618,-0.65793,-0.97317,0.5139,0.51972,-1.29069,0.65802,1.70279,1.69454,-3.7444,-2.4849,1.1104,4.629,3069.2105,1.922168396,1.427940996,1.941108859,1.95382367,1.627944843,263.197,96.2964,1.68,3.57,5.23,1.91,1.76,3.31,8.3,3.89,55.5,0.163699095
52,-0.23052,-0.07245,0.09396,-0.28899,-0.25842,-0.22605,-0.60318,1.01501,0.54748,0.91825,-0.70193,-0.66097,-0.63632,-0.98456,0.51121,0.51113,-1.304,0.69714,1.67598,1.65133,-2.7927,-1.0415,3.0652,4.2755,3533.0615,1.919373326,1.428519752,1.945830199,1.961476656,1.91668214,255,72.5686,1.68,3.57,5.26,1.93,1.75,4.39,6.27,1.92,60,0.30048042
53,-0.22666,-0.06567,0.08457,-0.27958,-0.25641,-0.01929,-0.60109,1.01676,0.5479,0.91813,-0.70218,-0.66346,-0.6361,-0.98414,0.51065,0.51111,-1.29634,0.68566,1.68022,1.65286,-2.6081,-1.2007,3.0078,4.1582,3533.0663,1.918632564,1.428595846,1.946237316,1.960828865,1.91635339,268.191,76.4773,1.68,3.57,5.24,1.92,1.8,4.39,7.22,1.93,64.5,0.442520525
54,-0.2387,-0.07052,0.10228,-0.28994,-0.26091,-0.23142,-0.60075,1.03096,0.54869,0.91762,-0.70357,-0.6656,-0.64036,-0.98249,0.5104,0.5161,-1.3209,0.70303,1.69656,1.67132,-1.9158,0.0981,2.8034,3.3969,3479.6389,1.915859443,1.426865078,1.944250677,1.964048067,1.852562532,286.058,71.4647,2.14,3.7,6.66,4.39,1.75,4.39,6.27,1.91,77.5,0.916534977
56,-0.23108,-0.28856,0.09917,-0.29782,-0.25062,-0.23896,-0.64158,1.01896,0.55198,0.91948,-0.70612,-0.70799,-0.6351,-0.98496,0.50915,0.51053,-1.31678,0.74075,1.72695,1.65406,-1.4607,-0.3578,2.7061,3.0959,3546.2632,1.920544595,1.423566079,1.946153068,1.962112961,1.999188999,300.764,121.845,1.68,5.78,9.02,5.73,1.69,3.3,6.27,3.89,51.5,0.044477901
51,-0.19975,-0.28093,0.1142,-0.30159,-0.20443,-0.16983,-0.60789,1.0097,0.54561,0.92018,-0.70252,-0.6493,-0.63641,-0.98467,0.51363,0.50987,-1.31129,0.72209,1.659,1.64611,-3.9381,-4.7955,3.2527,7.0061,3530.4684,1.920909626,1.422886367,1.948772832,1.960353258,1.897114686,258.66,79.8976,1.68,3.57,5.33,1.9,1.69,3.31,7.63,3.9,49.5,-0.014822012
64,-0.3116,-0.22409,0.06719,-0.25134,-0.34958,0.34442,-0.59005,1.03612,0.54828,0.91143,-0.6942,-0.66553,-0.65799,-0.97324,0.51473,0.5192,-1.28746,0.65724,1.70165,1.69411,-4.2755,-2.2862,1.093,4.97,3071.7016,1.922553328,1.428080325,1.941480231,1.953787554,1.628124105,249.391,83.1261,1.68,3.57,5.23,1.9,1.69,3.3,6.91,3.91,46.5,-0.103920585
69,-0.31242,-0.23068,0.07077,-0.27447,-0.31169,0.34607,-0.57917,1.02434,0.5525,0.92305,-0.70406,-0.68379,-0.63894,-0.98798,0.50516,0.50602,-1.29881,0.64994,1.70813,1.66328,-3.4598,-2.1397,2.9406,5.0195,3544.9496,1.919751731,1.425751951,1.94020654,1.960972448,1.987321144,318.259,109.225,2.17,4.67,8.54,4.42,1.69,3.32,6.27,3.88,20.5,-1.004403982
