Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_34,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_34,diff_NBO_31_32,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 34)","Dist(31, 32)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
1,-0.25752,-0.20262,-0.12513,-0.193,-0.25866,-0.22666,0.26463,1.04981,0.88687,-0.7471,0.53218,-0.71625,-1.24281,-0.38976,1.76606,-1.27928,-1.1211,-4.7546,-3.3584,5.928,1.932781821,1.466009289,1.903178167,1.697141308,292.613,112.454,1.7,3.23,6.3,3.86,1.7,3.18,6.36,4.08,94,1.765869052
2,-0.33086,-0.18445,-0.15932,-0.1899,-0.29978,0.36464,0.2624,1.04338,0.88726,-0.74787,0.53276,-0.71156,-1.23328,-0.42172,1.75494,-1.28063,-2.16,-4.9802,-3.013,6.2085,1.932131971,1.460596862,1.915064467,1.617416889,316.001,150.459,1.71,3.23,6.3,3.85,1.76,3.17,8.44,4.1,95,1.889669976
28,-0.25549,-0.20401,-0.12573,-0.18114,-0.26831,-0.21525,0.28946,1.06349,0.88672,-0.72716,0.53803,-0.74268,-1.24463,-0.41519,1.80617,-1.26519,-0.5363,-2.6578,-3.8735,4.7282,1.913098526,1.467715018,1.907572901,1.628309102,335.949,147.551,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,65.5,0.411436637
29,-0.24548,-0.27405,0.24421,-0.29258,-0.24793,-0.23657,-0.53367,1.03492,0.88532,-0.73784,0.52939,-0.72716,-1.3275,0.77788,1.76208,-1.26723,-0.4902,-6.977,0.8604,7.0469,1.92258561,1.418108819,1.91950216,1.625220158,293.663,94.8783,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,29,-0.574635903
33,-0.24542,-0.24854,0.11617,-0.24498,-0.24387,-0.24685,-0.13423,1.02406,0.88921,-0.74981,0.53231,-0.71093,-1.26904,0.2504,1.73499,-1.28212,-0.8921,-3.6429,-3.4968,5.1278,1.942356584,1.42585355,1.904394238,1.682723929,275.135,96.4581,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,94,1.765869052
3,-0.24425,-0.20216,-0.14515,-0.1893,-0.25472,0.00079,0.25954,1.04352,0.88841,-0.75054,0.53343,-0.7092,-1.23282,-0.40469,1.75272,-1.28397,-1.5167,-5.333,-2.8318,6.2257,1.929624862,1.464498459,1.912915281,1.61052152,309.23,135.26,1.7,3.23,6.3,3.86,1.71,3.18,7.3,4.08,94,1.765869052
4,-0.23541,-0.19871,-0.10649,-0.1915,-0.23003,-0.16584,0.2616,1.04741,0.88649,-0.74488,0.53112,-0.71724,-1.23891,-0.36809,1.76465,-1.276,-0.6676,-7.4622,-3.3686,8.2145,1.932321486,1.468306523,1.90186388,1.703751432,304.016,116.164,1.7,3.23,6.29,3.85,2.02,3.18,7.68,4.09,95,1.889669976
5,-0.21291,-0.21396,-0.10933,-0.20677,-0.19908,-0.14517,0.25371,1.03829,0.88509,-0.74136,0.52917,-0.7138,-1.24506,-0.36304,1.75209,-1.27053,-2.4388,-8.4773,-2.9681,9.307,1.930232829,1.469788433,1.9119647,1.639154413,312.662,148.076,1.7,3.23,6.29,3.85,1.7,3.17,7.8,4.09,95,1.889669976
7,-0.25132,-0.01226,-0.13496,-0.18883,-0.26941,-0.20412,0.25771,1.03848,0.8773,-0.73522,0.53202,-0.71126,-1.22731,-0.39267,1.74974,-1.26724,-2.2516,-6.4803,-0.8674,6.9149,1.921978851,1.477281296,1.917756771,1.621991969,308.969,116.007,1.69,3.24,6.3,3.85,1.7,4.28,6.35,2.35,97,2.230876365
8,-0.26204,-0.2138,-0.11635,-0.19252,-0.26162,-0.2266,0.27492,1.05336,0.8854,-0.74573,0.53316,-0.71833,-1.24588,-0.39127,1.77169,-1.27889,-1.1465,-4.1392,-2.9878,5.2321,1.927715996,1.472575518,1.906548471,1.693724679,303.864,112.283,1.71,4.29,6.29,2.35,1.69,3.2,6.36,4.07,94,1.765869052
9,-0.23462,-0.06091,-0.09076,-0.20866,-0.25594,-0.21269,0.24474,1.0407,0.87726,-0.73386,0.53215,-0.70953,-1.24936,-0.3355,1.75023,-1.26601,-2.1559,-5.9265,-1.2338,6.426,1.940282477,1.42815538,1.915018882,1.619817019,318.686,138.026,1.69,4.39,6.27,-0.5,1.69,4.39,6.33,1.94,96.5,2.128629495
30,-0.24938,-0.18896,-0.14953,-0.19192,-0.274,-0.2156,0.09551,1.03566,0.88878,-0.74756,0.53623,-0.73317,-1.22758,-0.24504,1.76883,-1.28379,6.3562,-1.2319,-3.7026,7.4585,1.927807063,1.454399691,1.909021362,1.732774116,288.322,99.4975,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,84.5,1.088395136
41,-0.26868,-0.19955,-0.14641,-0.17591,-0.28225,-0.09763,0.51159,1.04648,0.88227,-0.71501,0.54066,-0.73902,-1.22239,-0.658,1.7855,-1.25567,-0.8779,-3.4147,-3.7955,5.1804,1.927857421,1.460575222,1.905859348,1.641938138,406.549,158.204,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,70,0.543775347
35,-0.23516,-0.25446,0.09203,-0.24408,-0.24322,-0.02905,-0.13612,1.01653,0.8769,-0.73739,0.53397,-0.70219,-1.26061,0.22815,1.71872,-1.27136,-2.3491,-4.9179,-1.3614,5.6177,1.942164583,1.4269414,1.91695508,1.607292537,292.485,106.343,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,95,1.889669976
43,-0.25433,-0.22037,-0.12945,-0.21156,-0.26362,-0.22594,0.21367,1.04063,0.87707,-0.7316,0.53171,-0.71677,-1.25219,-0.34312,1.7574,-1.26331,-1.9421,-8.9995,-1.1525,9.2785,1.951795932,1.463036404,1.91808393,1.617117248,298.707,109.968,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,58.5,0.220343055
40,-0.2378,-0.06011,0.10754,-0.24085,-0.24988,-0.22592,-0.14016,1.01483,0.87679,-0.7372,0.53397,-0.70493,-1.25568,0.2477,1.71976,-1.27117,-2.3022,-5.269,-1.3047,5.8962,1.930646959,1.438119197,1.91782531,1.621045577,291.615,97.8917,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,84.5,1.088395136
27,-0.25874,-0.19378,-0.13546,-0.18744,-0.25863,-0.21707,0.29322,1.04114,0.88856,-0.74612,0.53215,-0.71691,-1.22858,-0.42868,1.75805,-1.27827,-1.054,-1.9358,-3.539,4.1693,1.937273293,1.45907304,1.902849357,1.689680513,287.962,107.421,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,41.5,-0.220343055
