Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_7,diff_NBO_32_30,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 7)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.25985,-0.20193,-0.17287,-0.19367,-0.27747,-0.20944,-0.7448,-0.49901,0.18702,1.05679,0.54188,0.88488,-1.25046,-0.35989,1.80159,-1.28536,4.3245,0.4964,-2.6965,5.1204,1.921685748,1.452584806,1.912776391,1.719916539,315.826,113.937,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.26812,-0.16459,-0.17017,-0.19055,-0.29198,-0.02256,-0.74237,-0.49216,0.18938,1.05119,0.53662,0.8854,-1.24174,-0.35955,1.79356,-1.28288,5.5517,-3.7248,-2.1547,7.0241,1.926207694,1.447510566,1.91730629,1.744537658,331.268,145.213,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.27189,-0.19043,-0.17127,-0.18223,-0.28795,-0.09609,-0.74485,-0.49766,0.18786,1.05514,0.54097,0.88454,-1.23737,-0.35913,1.79999,-1.2833,4.6516,-1.738,-2.5187,5.5679,1.922236126,1.452454051,1.912405337,1.728834087,339.859,156.11,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.24424,-0.19472,-0.17321,-0.18666,-0.26159,-0.02205,-0.74475,-0.49998,0.18538,1.05859,0.54203,0.88526,-1.24525,-0.35859,1.80334,-1.28578,4.303,0.6602,-2.6415,5.092,1.920689838,1.451071118,1.912039917,1.718284184,392.422,229.871,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.34057,-0.18133,-0.19875,-0.17803,-0.32054,0.39525,-0.73784,-0.51186,0.19307,1.04969,0.52613,0.88144,-1.22772,-0.39182,1.78753,-1.26059,2.8064,-5.2918,-2.9318,6.6689,1.923796172,1.436214734,1.916001986,1.69984828,342.549,168.908,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.28638,-0.17346,-0.18156,-0.17647,-0.28846,0.1925,-0.7409,-0.50451,0.19961,1.05189,0.53495,0.88604,-1.22836,-0.38117,1.79279,-1.26117,2.9993,-2.9253,-2.5306,4.8946,1.921100811,1.441010152,1.911115551,1.628565787,362.773,206.75,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.21621,-0.20504,-0.10548,-0.19133,-0.21996,-0.10918,-0.72947,-0.47064,0.26689,1.04234,0.53564,0.89311,-1.23367,-0.37237,1.77181,-1.28232,-1.6755,-4.3138,-3.9308,6.0719,1.914799629,1.468193131,1.898079379,1.676532312,397.201,256.295,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.24513,-0.19072,-0.15901,-0.18513,-0.22791,-0.05266,-0.73044,-0.48911,0.19353,1.05593,0.53395,0.89057,-1.24106,-0.35254,1.78637,-1.27622,-2.0787,-2.0612,-2.8641,4.0954,1.931396959,1.447477814,1.909734512,1.684842335,387.829,247.697,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.02477,-0.01273,-0.15095,-0.19658,-0.24292,-0.02452,-0.74021,-0.49122,0.17953,1.05497,0.54079,0.88719,-1.25155,-0.33048,1.79518,-1.28657,-2.6957,-8.1023,-0.5991,8.56,1.945353593,1.442826512,1.919235728,1.680761975,468.866,370.383,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.02041,-0.01558,-0.00959,-0.21471,-0.23607,-0.04716,-0.75295,-0.49818,-0.11614,1.09217,0.53544,0.86818,-1.30688,0.10655,1.84512,-1.24206,1.553,-1.4064,-3.2081,3.8317,1.916622627,1.41443143,1.918476295,1.693530369,447.81,295.392,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
