Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_34,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_34,diff_NBO_31_32,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 34)","Dist(31, 32)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
57,-0.25342,-0.21496,-0.19933,-0.20038,-0.26186,-0.19975,0.7373,1.04978,0.87919,-0.76267,0.53151,-0.70307,-1.25016,-0.93663,1.75285,-1.29418,-3.7984,-9.3328,-2.2066,10.3149,1.930858039,1.472253458,1.913744721,1.703162296,270.433,89.0621,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.25196,-0.22189,-0.20356,-0.20243,-0.27127,-0.20668,0.74979,1.05645,0.86911,-0.74219,0.53115,-0.71721,-1.25888,-0.95335,1.77366,-1.27334,-1.6593,-8.597,-2.6837,9.1578,1.926077811,1.48000743,1.91528708,1.72903045,278.502,83.3204,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
63,-0.23965,-0.27054,0.10482,-0.26393,-0.25349,-0.23976,-0.44086,1.05891,0.87596,-0.76311,0.52362,-0.69295,-1.32284,0.54568,1.75186,-1.28673,-9.6798,-10.1525,-1.0887,14.0696,1.932902422,1.432342546,1.910519633,1.643035645,287.698,105.065,1.97,3.62,5.34,1.86,1.69,3.2,6.29,3.99,69.5,0.610350162
31,-0.25629,-0.19989,-0.18668,-0.20009,-0.26608,-0.19959,0.67908,1.03914,0.88102,-0.7533,0.53187,-0.71681,-1.23923,-0.86576,1.75595,-1.28517,-0.8657,-10.5844,-2.0228,10.8107,1.953540991,1.449845257,1.919993714,1.713299589,276.667,88.66,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,80,1.027349341
50,-0.21619,-0.25857,0.11554,-0.26992,-0.22176,-0.18146,-0.60805,1.0515,0.87387,-0.74832,0.5216,-0.70358,-1.32142,0.72359,1.75508,-1.26992,-6.7911,-13.4264,-6.2401,16.2889,1.935590979,1.426114575,1.904606183,1.695205809,280.149,94.4761,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
55,-0.23982,-0.26688,0.10211,-0.27589,-0.24691,-0.2359,-0.60479,1.06399,0.88276,-0.76499,0.52961,-0.70638,-1.33988,0.7069,1.77037,-1.2946,-2.7558,-11.2342,-1.4788,11.6615,1.930885146,1.428435426,1.913953567,1.701105809,301.688,98.5647,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
60,-0.25502,-0.19702,-0.17279,-0.1924,-0.27231,-0.21219,0.76509,1.05914,0.88572,-0.71832,0.53341,-0.72978,-1.25154,-0.93788,1.78892,-1.25173,0.3967,-0.9529,-2.7884,2.9733,1.906357781,1.491333154,1.915921987,1.571472118,325.448,86.2731,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
62,-0.257,-0.22612,-0.19622,-0.19273,-0.26212,-0.20754,0.75632,1.05332,0.87365,-0.73994,0.53325,-0.70489,-1.24605,-0.95254,1.75821,-1.27319,-4.7571,-5.2184,-0.9727,7.1279,1.925539604,1.48101009,1.918075077,1.630065562,313.856,89.9368,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
61,-0.25678,-0.18113,-0.18497,-0.18912,-0.27195,-0.20582,0.72867,1.05439,0.88915,-0.74795,0.53126,-0.72192,-1.24351,-0.91364,1.77631,-1.27921,-1.0089,-0.7137,-4.3236,4.4968,1.922387138,1.478985091,1.922137134,1.612847743,285.409,91.533,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
58a,-0.25233,-0.21561,-0.20054,-0.20023,-0.2612,-0.19708,0.74593,1.04925,0.87983,-0.76062,0.53138,-0.70575,-1.24948,-0.94647,1.755,-1.292,-3.332,-8.99,-2.3659,9.8753,1.930679201,1.472537551,1.912885006,1.704145289,326.662,166.731,1.68,5.4,8.13,5.3,1.69,3.28,6.36,4.01,37,-0.394413054
58b,-0.24008,-0.26545,0.10051,-0.27473,-0.24685,-0.23363,-0.59244,1.05857,0.88316,-0.76599,0.53014,-0.70535,-1.3333,0.69295,1.76392,-1.29613,-2.7767,-11.9069,-1.5672,12.3264,1.933596186,1.427148554,1.914204951,1.70150844,324.298,153.653,1.68,3.72,8.51,4.21,1.69,3.3,6.27,3.89,59.5,0.285072882
47,-0.23953,-0.2673,0.10122,-0.27809,-0.24671,-0.23251,-0.59468,1.0593,0.88251,-0.75993,0.53238,-0.7119,-1.33739,0.6959,1.7712,-1.29231,-2.1719,-10.3781,-2.2123,10.8313,1.941382091,1.427895996,1.915645267,1.722439731,270.627,87.5466,1.68,3.57,5.28,1.91,1.69,3.3,6.27,3.89,67.6,0.545023945
49,-0.23279,-0.25688,0.08928,-0.26701,-0.24514,-0.02272,-0.59783,1.05796,0.88061,-0.76653,0.52348,-0.69558,-1.32497,0.68711,1.75354,-1.29001,-1.1059,-9.7142,-4.2089,10.6443,1.936440381,1.429223626,1.912056108,1.682113601,281.575,105.056,1.68,3.57,5.26,1.91,1.79,3.3,7.21,3.89,65.5,0.475096955
48,-0.3102,-0.23029,0.07595,-0.26516,-0.29577,0.32621,-0.58648,1.06898,0.87541,-0.74133,0.52349,-0.72205,-1.33414,0.66243,1.79103,-1.26482,1.1261,-5.4542,-3.6014,6.6322,1.942940612,1.428281819,1.917226284,1.710364153,285.059,110.026,1.68,3.57,5.23,1.91,1.76,3.31,8.3,3.89,55.5,0.163699095
52,-0.23561,-0.06493,0.10601,-0.26964,-0.25267,-0.22778,-0.60133,1.05824,0.88318,-0.76487,0.5311,-0.70624,-1.32788,0.70734,1.76448,-1.29597,-2.7476,-10.7066,-1.936,11.2219,1.937916923,1.429709734,1.91482269,1.710651534,283.162,94.563,1.68,3.57,5.26,1.93,1.75,4.39,6.27,1.92,60,0.30048042
53,-0.2294,-0.05494,0.0958,-0.2588,-0.25204,-0.01742,-0.60275,1.0591,0.88054,-0.76658,0.52316,-0.69581,-1.3179,0.69855,1.75491,-1.28974,-1.5961,-9.8581,-4.1747,10.824,1.9354415,1.430765643,1.911828546,1.681976664,293.905,107.249,1.68,3.57,5.24,1.92,1.8,4.39,7.22,1.93,64.5,0.442520525
54,-0.23584,-0.06377,0.11003,-0.26528,-0.25476,-0.236,-0.61431,1.06335,0.87597,-0.74816,0.52454,-0.70701,-1.32863,0.72434,1.77036,-1.2727,-6.6768,-11.6042,-5.5265,14.4837,1.928103677,1.430393866,1.907058948,1.68709026,313.49,98.1934,2.14,3.7,6.66,4.39,1.75,4.39,6.27,1.91,77.5,0.916534977
56,-0.23996,-0.27147,0.1062,-0.27715,-0.24564,-0.24016,-0.63937,1.06579,0.88116,-0.76563,0.52822,-0.70533,-1.34294,0.74557,1.77112,-1.29385,-3.3011,-12.773,-1.0889,13.2376,1.930872297,1.431805693,1.913304521,1.686558677,327.841,164.318,1.68,5.78,9.02,5.73,1.69,3.3,6.27,3.89,51.5,0.044477901
51,-0.20557,-0.26851,0.12822,-0.28024,-0.18741,-0.18532,-0.60619,1.0534,0.8739,-0.75038,0.5225,-0.69989,-1.33364,0.73441,1.75329,-1.27288,-9.6153,-12.2737,-3.1304,15.9027,1.94147147,1.424351168,1.909574025,1.660776758,286.71,112.536,1.68,3.57,5.33,1.9,1.69,3.31,7.63,3.9,49.5,-0.014822012
64,-0.32399,-0.24562,0.07164,-0.25448,-0.3032,0.33512,-0.6012,1.05837,0.87563,-0.75442,0.53234,-0.70584,-1.31285,0.67284,1.76421,-1.28676,-9.8704,-9.5547,-0.7337,13.757,1.933835736,1.429916519,1.907847353,1.700547027,274.772,91.9116,1.68,3.57,5.23,1.9,1.69,3.3,6.91,3.91,46.5,-0.103920585
69,-0.23786,-0.26743,0.09773,-0.27634,-0.26049,-0.24451,-0.6025,1.05965,0.87573,-0.7581,0.53289,-0.7083,-1.33599,0.70023,1.76795,-1.29099,-3.4833,-12.4488,-0.4466,12.9347,1.934691733,1.42722893,1.912763527,1.709548673,333.071,122.969,2.17,4.67,8.54,4.42,1.69,3.32,6.27,3.88,20.5,-1.004403982
