Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_7,diff_NBO_10_8,diff_NBO_30_33,dip_x_1,dip_y_1,dip_z_1,Total_1,-32-30-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 7)","Dist(10, 8)","Dist(30, 33)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
13,-0.30899,-0.18603,-0.1578,-0.2053,-0.26685,-0.21258,-0.66564,-0.50202,0.19129,1.02103,0.54697,0.92202,-0.71195,-0.68415,-1.22633,-0.34909,1.68667,1.52305,1.23112,-0.2295,-0.2011,1.7713,1.7973,3014.8919,1.944536586,1.448260864,1.986266431,1.997631498,1.580283073,321.02,125.562,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
14,-0.27069,-0.18806,-0.16142,-0.22263,-0.29168,-0.03869,-0.65867,-0.49141,0.18814,1.02058,0.54913,0.92539,-0.70999,-0.67242,-1.24321,-0.34956,1.67925,1.51199,1.22155,0.3717,-2.4022,1.6431,2.934,3175.9159,1.938864391,1.451240596,1.973561697,1.994731999,1.662101413,331.97,164.266,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.25775,-0.18215,-0.17913,-0.21595,-0.28303,-0.09769,-0.66665,-0.50458,0.18026,1.0248,0.54389,0.93464,-0.70638,-0.6856,-1.24075,-0.35939,1.69145,1.52938,1.22949,-0.1669,-3.2897,1.4497,3.5988,3118.827,1.926645018,1.451833542,1.983771098,1.999878088,1.652867895,341.107,188.884,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
17,-0.23163,-0.18348,-0.17698,-0.21938,-0.25525,-0.00838,-0.68155,-0.50936,0.18161,1.02404,0.54702,0.93524,-0.69587,-0.68883,-1.24342,-0.35859,1.70559,1.5334,1.23585,-0.5447,-1.382,2.1782,2.6365,3161.8134,1.927277523,1.447941756,1.992217364,2.000064833,1.670380449,393.846,258.193,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.32846,-0.16665,-0.19333,-0.17915,-0.29613,0.35729,-0.64641,-0.51075,0.19086,1.01805,0.54314,0.91434,-0.70771,-0.68584,-1.1972,-0.38419,1.66446,1.5288,1.22898,-1.0166,0.3279,1.354,1.7245,3074.0717,1.929501203,1.442976002,1.967964828,2.012317713,1.623107982,340.194,174.345,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
19,-0.28126,-0.1753,-0.18482,-0.1791,-0.27076,0.18042,-0.64809,-0.5062,0.1893,1.01201,0.54269,0.91806,-0.71276,-0.68255,-1.19111,-0.37412,1.6601,1.51821,1.22524,-0.0434,-5.2693,1.5261,5.486,3005.375,1.929683556,1.445127387,1.971747066,2.011294083,1.62559511,359.375,184.799,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
20a,-0.21144,-0.20144,-0.11219,-0.22501,-0.26458,-0.09473,-0.63823,-0.48525,0.24608,0.99056,0.54499,0.91563,-0.70915,-0.69612,-1.21557,-0.35827,1.62879,1.47581,1.24111,-0.2674,-6.8115,1.2636,6.9329,3256.0896,1.932599024,1.469506917,1.969419577,1.990746088,1.685628509,398.31,271.337,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
20b,-0.22681,-0.18709,-0.16871,-0.20927,-0.22345,-0.0395,-0.67181,-0.50713,0.18276,1.03546,0.54806,0.92558,-0.69553,-0.68994,-1.24473,-0.35147,1.70727,1.54259,1.238,-1.4623,-0.7104,-0.5311,1.7102,3084.2045,1.936782781,1.447160055,1.975498839,1.996288709,1.599129109,393.895,260.106,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
25a,-0.03244,-0.01253,-0.16064,-0.21994,-0.23294,-0.02191,-0.65382,-0.5116,0.17993,1.02008,0.55402,0.92587,-0.71302,-0.6703,-1.24002,-0.34057,1.6739,1.53168,1.22432,0.4491,-1.963,1.4449,2.4785,3233.5034,1.934361824,1.443363506,1.984585637,1.991624729,1.686629515,464.708,375.522,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.02783,-0.02087,-0.02403,-0.27159,-0.23093,-0.06544,-0.66912,-0.50399,-0.13514,1.06104,0.55004,0.91916,-0.70753,-0.6747,-1.33263,0.11111,1.73016,1.56503,1.22474,0.8458,-0.0841,1.0724,1.3684,3161.6832,1.928740651,1.415735525,1.98513556,1.983835158,1.652978909,443.368,295.33,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
