Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,NPA_34,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_34,diff_NBO_32_33,dip_x_1,dip_y_1,dip_z_1,Total_1,-31-32-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 34)","Dist(32, 33)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
57,-0.24041,-0.20018,-0.18966,-0.22029,-0.30777,-0.21721,0.73296,1.01146,0.91195,-0.73406,0.53888,-0.67384,-0.60343,-1.23175,-0.92262,1.61489,1.21272,-3.3209,0.3259,2.9127,4.4293,2998.1747,1.942587374,1.478485173,1.964214108,1.583269203,269.465,85.7324,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.24343,-0.20335,-0.18924,-0.21798,-0.31577,-0.20951,0.74065,1.01493,0.91118,-0.73393,0.539,-0.67439,-0.6044,-1.23291,-0.92989,1.61933,1.21339,-2.9235,0.0785,3.7963,4.7921,2990.432,1.937744098,1.486761737,1.968357389,1.580448083,282.094,79.1695,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
63,-0.224,-0.25454,0.11578,-0.28036,-0.29156,-0.25536,-0.43536,1.01534,0.91305,-0.73736,0.53958,-0.67399,-0.60411,-1.2957,0.55114,1.61945,1.21357,-2.3386,-0.2386,2.4947,3.4277,3031.5679,1.941961253,1.428749242,1.97000178,1.592394563,286.99,94.8947,1.97,3.62,5.34,1.86,1.69,3.2,6.29,3.99,69.5,0.610350162
31,-0.24244,-0.18505,-0.17729,-0.21759,-0.31295,-0.22244,0.68174,1.00052,0.91412,-0.72831,0.53898,-0.677,-0.61222,-1.21811,-0.85903,1.61274,1.21598,-0.3189,-0.6661,3.1333,3.2191,2969.5052,1.968173681,1.45505955,1.971075241,1.573228525,275.706,87.2804,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,80,1.027349341
50,-0.20546,-0.24914,0.1248,-0.2854,-0.22364,-0.18644,-0.60434,1.01317,0.91802,-0.72272,0.54737,-0.70611,-0.61227,-1.29857,0.72914,1.62544,1.25348,-0.6693,-4.1097,2.8687,5.0564,3187.6804,1.935980925,1.423108809,1.969227154,1.61670597,280.224,94.5263,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
55,-0.2245,-0.25134,0.11379,-0.29307,-0.28647,-0.2628,-0.60451,1.02426,0.91364,-0.73377,0.53923,-0.67565,-0.60819,-1.31733,0.7183,1.63245,1.21488,-2.0183,0.591,2.9035,3.5851,3015.3837,1.943002008,1.424015288,1.970210472,1.585287384,300.945,90.0331,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
60,-0.24429,-0.24334,-0.19265,-0.20633,-0.2649,-0.19858,0.73686,1.01301,0.92048,-0.73618,0.53673,-0.65623,-0.61108,-1.21934,-0.92951,1.62409,1.19296,-2.3834,0.0015,2.6695,3.5787,3047.7859,1.912385151,1.497929148,1.969907894,1.593595517,323.195,86.7325,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
62,-0.24331,-0.20589,-0.18432,-0.2208,-0.31684,-0.21052,0.74435,1.01716,0.91117,-0.73284,0.53936,-0.67523,-0.60494,-1.23796,-0.92867,1.6221,1.21459,-1.796,0.831,3.8507,4.3294,3001.936,1.938341591,1.489582229,1.968951814,1.583052705,313.725,88.4521,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
61,-0.24772,-0.21315,-0.20818,-0.22952,-0.28335,-0.20146,0.72762,1.01069,0.91641,-0.74163,0.5393,-0.67162,-0.60788,-1.24021,-0.9358,1.61857,1.21092,-1.7517,0.0443,4.4471,4.7799,3041.1305,1.932886551,1.484122334,1.972105314,1.594426811,284.872,85.7263,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
58a,-0.23967,-0.20224,-0.18868,-0.22107,-0.30661,-0.21668,0.73955,1.01153,0.91242,-0.73408,0.53885,-0.67347,-0.60437,-1.2326,-0.92823,1.6159,1.21232,-1.4253,2.9263,3.0624,4.4691,2994.3738,1.94141854,1.479659103,1.964180304,1.582696695,325.575,150.34,1.68,5.4,8.13,5.3,1.69,3.28,6.36,4.01,37,-0.394413054
58b,-0.22512,-0.25011,0.11252,-0.29043,-0.28714,-0.26154,-0.59492,1.01885,0.91334,-0.73432,0.53948,-0.67552,-0.60611,-1.30928,0.70744,1.62496,1.215,-1.8608,0.6754,2.7638,3.3996,3030.6048,1.94277595,1.423231493,1.970906123,1.591899852,323.687,139.07,1.68,3.72,8.51,4.21,1.69,3.3,6.27,3.89,59.5,0.285072882
47,-0.22441,-0.25067,0.10909,-0.29225,-0.2841,-0.26175,-0.59934,1.01679,0.91343,-0.7343,0.53921,-0.67549,-0.60698,-1.30904,0.70843,1.62377,1.2147,-2.8867,-0.7819,2.6735,4.0115,3008.959,1.946802128,1.425753786,1.969782619,1.584262699,269.071,90.1379,1.68,3.57,5.28,1.91,1.69,3.3,6.27,3.89,67.6,0.545023945
49,-0.22113,-0.24362,0.09982,-0.28717,-0.28396,-0.0535,-0.59796,1.01858,0.91215,-0.73046,0.54019,-0.67231,-0.6073,-1.30575,0.69778,1.62588,1.2125,-3.1205,-1.1797,2.7677,4.3347,3031.3221,1.947817304,1.425817972,1.971434855,1.589775757,281.146,94.8152,1.68,3.57,5.26,1.91,1.79,3.3,7.21,3.89,65.5,0.475096955
48,-0.31073,-0.23233,0.08817,-0.2757,-0.29866,0.31759,-0.59884,1.0198,0.92029,-0.72299,0.55051,-0.70622,-0.61021,-1.2955,0.68701,1.63001,1.25673,-3.7536,-0.1865,1.9395,4.2292,3248.0305,1.94266817,1.426807729,1.972984478,1.631292575,285.905,111.614,1.68,3.57,5.23,1.91,1.76,3.31,8.3,3.89,55.5,0.163699095
52,-0.22288,-0.04537,0.11513,-0.28474,-0.29335,-0.25411,-0.60301,1.01805,0.91328,-0.73459,0.53934,-0.67545,-0.6065,-1.30279,0.71814,1.62455,1.21479,-2.6352,-0.7388,2.6724,3.8252,3016.4813,1.946675747,1.427407575,1.970483119,1.586238773,281.72,93.9824,1.68,3.57,5.26,1.93,1.75,4.39,6.27,1.92,60,0.30048042
53,-0.21948,-0.03841,0.1058,-0.27865,-0.29318,-0.04445,-0.60112,1.02046,0.91192,-0.73237,0.54103,-0.67489,-0.60641,-1.29911,0.70692,1.62687,1.21592,-2.6002,-1.1903,2.7976,4.0006,3049.8102,1.947119461,1.42747122,1.970695146,1.596592338,293.909,96.472,1.68,3.57,5.24,1.92,1.8,4.39,7.22,1.93,64.5,0.442520525
54,-0.223,-0.04576,0.11986,-0.28556,-0.29673,-0.25483,-0.60914,1.02595,0.91354,-0.73377,0.53956,-0.67589,-0.60762,-1.31151,0.729,1.63357,1.21545,-1.8006,0.6202,2.8602,3.4362,3029.9234,1.943075169,1.425284345,1.970595837,1.589303803,313.196,94.571,2.14,3.7,6.66,4.39,1.75,4.39,6.27,1.91,77.5,0.916534977
56,-0.22449,-0.25575,0.12048,-0.29226,-0.29135,-0.26417,-0.63802,1.02462,0.91288,-0.73447,0.53994,-0.67591,-0.60447,-1.31688,0.7585,1.62909,1.21585,-2.1951,0.9266,2.1198,3.1892,3062.363,1.940955814,1.425124218,1.970793291,1.599262568,324.777,148.829,1.68,5.78,9.02,5.73,1.69,3.3,6.27,3.89,51.5,0.044477901
51,-0.19313,-0.251,0.1351,-0.29692,-0.25336,-0.18234,-0.60644,1.01676,0.90556,-0.734,0.54242,-0.66238,-0.60937,-1.31368,0.74154,1.62613,1.2048,-3.682,-3.9291,1.8511,5.694,2817.2853,1.949883532,1.422116101,1.973146264,1.53975854,282.912,111.908,1.68,3.57,5.33,1.9,1.69,3.31,7.63,3.9,49.5,-0.014822012
64,-0.30443,-0.23369,0.08717,-0.27391,-0.30673,0.31973,-0.59946,1.01885,0.92065,-0.72249,0.55225,-0.71118,-0.61066,-1.29276,0.68663,1.62951,1.26343,-4.1911,-0.2457,1.8276,4.5789,3270.7575,1.943016254,1.426830844,1.973336865,1.635241549,272.827,101.054,1.68,3.57,5.23,1.9,1.69,3.3,6.91,3.91,46.5,-0.103920585
69,-0.2258,-0.25225,0.11091,-0.29083,-0.28958,-0.25881,-0.60331,1.01934,0.91233,-0.73577,0.53937,-0.67481,-0.60348,-1.31017,0.71422,1.62282,1.21418,-2.0971,0.9757,3.1807,3.9328,3049.4677,1.942927833,1.422888605,1.971406931,1.59558968,337.486,128.629,2.17,4.67,8.54,4.42,1.69,3.32,6.27,3.88,20.5,-1.004403982
