Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_13,NPA_ConnectMetal,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_13,diff_NBO_4_ConnectMetal,dip_x_1,dip_y_1,dip_z_1,Total_1,-4-10-,"Dist(4, 10)","Dist(3, 9)","Dist(4, 13)","Dist(4, ConnectMetal)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
38a,-0.21916,-0.16454,-0.12385,-0.15363,-0.22976,0.15101,0.11175,0.23754,-0.39705,-0.39705,-0.39117,-0.2356,0.24342,0.24342,0.4618,-0.4608,-0.5937,0.8821,3224.4337,1.081893516,1.471895767,2.882528049,2.882528049,159.556,158.619,1.68,2.76,5.09,2.16,1.86,3.17,9.71,4.09,78.5,0.95972715
38b,-0.15363,-0.22976,0.15101,-0.21916,-0.16454,-0.12385,-0.1687,0.24644,-0.26403,-0.26403,-0.4656,0.31971,0.04487,0.04487,-0.4696,0.4608,-0.5875,0.8821,3255.0954,1.079718682,1.413215972,2.797371609,2.797371609,159.556,158.619,1.69,3.08,5.44,1.87,1.75,3.15,9.31,4.01,78,0.937954847
39,-0.19389,-0.22881,0.13606,-0.21391,-0.19254,-0.21933,-0.15097,0.24324,-0.25988,-0.25988,-0.45715,0.28703,0.04597,0.04597,-0.1966,0.197,-0.5112,0.5821,3248.4737,1.079940534,1.416594324,2.804656901,2.804656901,228.869,169.07,2.21,6.1,8.45,5.05,1.7,3.15,6.27,4.01,69,0.59294913
25a,-0.01896,-0.02387,-0.08943,-0.16504,-0.18257,-0.04634,0.1045,0.23932,-0.39486,-0.39486,-0.40436,-0.19393,0.22982,0.22982,-1.3351,-0.0099,0,1.3351,3229.7954,1.081576784,1.475799434,2.811973273,2.811973273,235.87,232.786,1.8,5.69,4.97,-2.56,1.69,5.69,8.4,3.97,80,1.027349341
25b,-0.01968,-0.01629,-0.01601,-0.19329,-0.16727,-0.05804,-0.09518,0.25739,0.116,-0.41246,-0.45068,0.07917,-0.30929,0.21917,-0.7095,-0.6628,-2.00E-04,0.9709,3271.5837,1.077770748,1.413229402,3.071970265,2.963238833,234.429,216.34,1.68,2.77,5.09,2.15,1.69,6.69,8.69,4.12,77.5,0.916534977
20a,-0.16921,-0.19058,-0.06479,-0.17726,-0.17957,-0.10762,0.18258,0.23568,-0.4215,-0.4215,-0.41294,-0.24737,0.24424,0.24424,-0.1631,-0.9964,-0.6629,1.2078,3236.7307,1.081067217,1.484151513,2.817712012,2.817712012,177.067,176.862,1.7,3.23,6.29,3.85,1.75,3.17,9.41,4.09,76.5,0.874684711
13,-0.2137,-0.18445,-0.11349,-0.17131,-0.2088,-0.20041,0.11173,0.23411,-0.39502,-0.39502,-0.40542,-0.22522,0.22371,0.22371,-1.2045,-0.0542,-0.001,1.2057,3231.0264,1.082085074,1.473957035,2.885712574,2.885712574,102.169,79.6987,1.68,2.76,5.1,2.16,1.69,3.19,6.34,4.07,84,1.228872864
41,-0.23261,-0.17054,-0.10288,-0.15433,-0.23179,-0.0858,0.38174,0.24086,-0.43936,-0.43936,-0.39519,-0.48462,0.28503,0.28503,-2.9136,-0.9254,-2.1705,3.7492,3226.4811,1.081706725,1.470392222,2.909120508,2.909120508,259.006,185.726,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,97.5,2.714977244
66,0.22203,-0.20008,-0.12531,-0.16395,-0.23832,0.24383,0.53713,0.23927,-0.48032,-0.48032,-0.40322,-0.66244,0.31637,0.31637,-0.9704,-0.2176,-0.0028,0.9945,3238.2166,1.081364336,1.469709825,2.907865686,2.907865686,172.676,110.165,2.52,3.54,6.48,4.09,1.78,3.19,8.38,4.05,22,-0.937954847
35,-0.19531,-0.2242,0.12889,-0.20525,-0.1911,-0.03296,-0.16511,0.24326,-0.26463,-0.26463,-0.44851,0.294,0.05938,0.05938,-1.5829,1.1023,-0.7122,2.0561,3247.0156,1.080237958,1.416073964,2.81452794,2.81452794,129.259,105.469,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,87,1.408754725
21,-0.21352,0.00825,-0.11611,-0.1605,-0.21957,-0.19189,0.10424,0.23458,-0.39507,-0.39507,-0.39508,-0.22035,0.23457,0.23457,-1.5518,-0.3153,-0.002,1.5835,3233.1041,1.081983979,1.476960676,2.843949379,2.843949379,114.503,79.6902,1.68,2.76,5.1,2.16,1.75,4.35,6.34,2.25,88,1.476541977
22,-0.31383,0.03689,-0.15327,-0.13915,-0.26013,0.31559,0.10886,0.23618,-0.40571,-0.40571,-0.37533,-0.26213,0.26656,0.26656,-2.797,0.4993,-0.0013,2.8413,3220.1053,1.082090245,1.472018616,2.850533045,2.850533045,135.643,105.377,1.68,2.76,5.09,2.16,1.77,4.34,8.42,2.26,90,1.628310181
23,0.31529,-0.26344,-0.06805,-0.25526,0.31919,-0.39205,0.11221,0.24466,-0.39021,-0.39021,-0.49992,-0.18026,0.13495,0.13495,-1.2031,2.4346,0.0014,2.7157,3243.3008,1.080577949,1.476276527,2.874738542,2.874738542,139.614,97.9365,1.68,2.76,5.1,2.16,1.89,4.62,7.11,5.75,73.5,0.756001668
24a,0.23067,-0.26539,-0.11305,-0.18429,-0.22782,0.25487,0.11521,0.23623,-0.39866,-0.39866,-0.42052,-0.22826,0.21437,0.21437,-3.1087,-0.5212,-0.9389,3.289,3238.4647,1.081255568,1.472093918,2.889154796,2.889154796,140.158,104.549,1.68,2.76,5.1,2.16,1.76,5.42,8.27,4.3,86,1.345267646
24b,-0.30254,-0.18698,-0.1232,-0.26457,0.26266,0.27667,0.11822,0.24119,-0.41167,-0.41167,-0.50576,-0.24142,0.1471,0.1471,-1.3892,0.1765,0.0026,1.4004,3242.9161,1.080482992,1.469135859,2.875936963,2.875936963,141.528,104.026,1.68,2.76,5.1,2.16,1.89,5.31,8.39,4.46,62,0.362792392
68,-0.01681,-0.19185,-0.09493,-0.18508,-0.01184,-0.19905,0.11434,0.22803,-0.39692,-0.39692,-0.41311,-0.20927,0.21184,0.21184,-1.2549,0.3838,0.005,1.3123,3216.803,1.082883903,1.473878694,2.886150184,2.886150184,129.462,87.2651,1.68,2.76,5.1,2.16,1.88,4.33,6.34,3.72,5,-2.182052766
42,-0.29416,-0.15544,-0.14859,-0.1394,-0.26081,0.31378,0.10727,0.2392,-0.42466,-0.42466,-0.3786,-0.25586,0.28526,0.28526,-2.1782,0.6829,-7.00E-04,2.2827,3239.9896,1.081534102,1.466352053,2.870636563,2.870636563,188.614,193.008,1.69,3.77,8.2,4.32,1.69,3.2,7,4.06,86,1.345267646
43,-0.20897,-0.19488,-0.06048,-0.18464,-0.20682,-0.21735,0.12288,0.23001,-0.28225,-0.28225,-0.41465,-0.18336,0.09761,0.09761,-1.1433,-3.2544,-1.1425,3.6337,3230.875,1.081804637,1.470278396,2.859397363,2.859397363,138.226,108.992,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,73,0.73709082
