Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_13,NPA_ConnectMetal,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_13,diff_NBO_4_ConnectMetal,dip_x_1,dip_y_1,dip_z_1,Total_1,-4-10-,"Dist(4, 10)","Dist(3, 9)","Dist(4, 13)","Dist(4, ConnectMetal)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
47,-0.19566,-0.24337,0.13877,-0.2428,-0.18744,-0.23435,-0.59198,0.25866,0.67597,-0.60363,-0.50146,0.73075,-0.91877,0.36083,-3.3835,-0.8149,0.0833,3.4812,3285.7044,1.077131863,1.406360716,3.037471539,2.88271414,102.306,72.9957,1.68,3.57,5.28,1.91,1.69,3.3,6.27,3.89,67.6,0.545023945
48,-0.29232,-0.21923,0.10652,-0.21706,-0.23005,0.27537,-0.58749,0.26048,0.67282,-0.61231,-0.47754,0.69401,-0.88988,0.39525,-4.594,-0.1851,0.0081,4.5977,3284.4971,1.077360077,1.409836457,3.040084943,2.881855542,122.26,95.1903,1.68,3.57,5.23,1.91,1.76,3.31,8.3,3.89,55.5,0.163699095
49,-0.19332,-0.2325,0.12782,-0.23414,-0.18718,-0.04547,-0.58997,0.25826,0.67471,-0.60698,-0.4924,0.71779,-0.90885,0.37284,-3.448,-0.3595,0.0577,3.4672,3273.8003,1.077243403,1.4074884,3.039692104,2.884880811,116.764,87.0066,1.68,3.57,5.26,1.91,1.79,3.3,7.21,3.89,65.5,0.475096955
50,-0.1647,-0.23711,0.15862,-0.2411,-0.1587,-0.1781,-0.59612,0.26356,0.67899,-0.5903,-0.50466,0.75474,-0.92009,0.3492,-3.1959,-4.1837,0.0842,5.2653,3282.4242,1.076744022,1.400760836,3.033760008,2.873790145,116.044,83.0592,1.68,3.57,5.32,1.9,2.06,3.3,7.63,3.89,42.5,-0.224013069
51,-0.14051,-0.24339,0.17097,-0.25297,-0.14219,-0.20799,-0.59585,0.26232,0.67939,-0.58762,-0.51529,0.76682,-0.93236,0.33465,-1.498,-4.2782,0.0787,4.5336,3286.2663,1.076804285,1.398629028,3.034024127,2.875208211,122.008,105.826,1.68,3.57,5.33,1.9,1.69,3.31,7.63,3.9,49.5,-0.014822012
52,-0.19346,-0.05347,0.1372,-0.23575,-0.19627,-0.22682,-0.60081,0.25859,0.67742,-0.60346,-0.49434,0.73801,-0.91317,0.36771,-3.707,-0.9282,0.1507,3.8243,3281.999,1.077026047,1.407912141,3.025449232,2.877637826,114.88,74.4022,1.68,3.57,5.26,1.93,1.75,4.39,6.27,1.92,60,0.30048042
53,-0.19245,-0.04202,0.12982,-0.22741,-0.1961,-0.03808,-0.59902,0.25828,0.67614,-0.60651,-0.48569,0.72884,-0.90355,0.3791,-3.76,-0.5002,0.0505,3.7935,3276.3771,1.077182439,1.408945475,3.026858339,2.87823597,129.355,87.4743,1.68,3.57,5.24,1.92,1.8,4.39,7.22,1.93,64.5,0.442520525
54,-0.19307,-0.05514,0.14293,-0.23698,-0.19603,-0.22888,-0.6137,0.25698,0.69545,-0.60457,-0.49396,0.75663,-0.93243,0.36759,-3.4221,-1.163,-0.251,3.623,3279.3538,1.077064114,1.406283795,3.035110658,2.878252532,150.583,81.2256,2.14,3.7,6.66,4.39,1.75,4.39,6.27,1.91,77.5,0.916534977
55,-0.19525,-0.24441,0.14314,-0.24408,-0.18722,-0.23609,-0.60009,0.25759,0.69309,-0.60555,-0.50167,0.74323,-0.93717,0.36147,-3.1123,-1.064,-2.00E-04,3.2891,3282.6407,1.076911468,1.405218628,3.044862853,2.878175268,138.344,79.9146,2.09,3.7,6.65,4.37,1.69,3.31,6.27,3.89,71,0.663547539
56,-0.19407,-0.24831,0.14676,-0.24125,-0.18639,-0.23746,-0.60546,0.25364,0.79383,-0.63067,-0.49489,0.75222,-1.03508,0.38942,-3.3503,-0.9318,-0.9885,3.6152,3281.3988,1.07725744,1.405272033,3.029255474,2.877401213,171.463,148.314,1.68,5.78,9.02,5.73,1.69,3.3,6.27,3.89,51.5,0.044477901
57,-0.21169,-0.19804,-0.14012,-0.1662,-0.20807,-0.19714,0.65135,0.23901,-0.61653,-0.61653,-0.40521,-0.79147,0.45033,0.45033,-2.9637,1.233,-1.6262,3.5984,3234.051,1.081969369,1.501004481,2.822718277,2.822718277,100.112,64.4397,1.69,3.34,5.05,3.84,1.7,3.27,6.36,4.02,68,0.558602117
59,-0.21347,-0.19472,-0.13843,-0.16904,-0.20933,-0.19959,0.65987,0.23235,-0.61585,-0.61585,-0.40139,-0.7983,0.44681,0.44681,-2.356,0.9453,2.6049,3.6372,3223.7799,1.08220637,1.50204735,2.871139331,2.871139331,112.098,60.3751,1.69,4.23,5.09,1.6,1.69,3.24,6.35,4.04,38.5,-0.34710434
60,-0.21021,-0.19907,-0.13121,-0.17333,-0.2078,-0.20355,0.66745,0.22924,-0.62495,-0.62495,-0.40257,-0.79866,0.45162,0.45162,-2.0042,0.6825,-2.8324,3.5362,3226.0004,1.082255353,1.505878561,2.880199408,2.880199408,158.242,65.9351,1.75,5.35,6.37,1.52,1.69,3.25,6.36,4.04,46.5,-0.103920585
61,-0.2158,-0.16889,-0.14309,-0.16306,-0.21293,-0.19368,0.65325,0.23359,-0.58869,-0.58869,-0.39665,-0.79634,0.42563,0.42563,-2.9601,0.4739,-1.4759,3.3415,3231.6368,1.081936896,1.495317284,2.823091137,2.823091137,117.17,65.2452,1.69,5.17,5.08,0.89,1.69,3.3,6.35,3.98,46.5,-0.103920585
62,-0.21247,-0.19823,-0.13457,-0.17004,-0.20894,-0.20086,0.66771,0.23127,-0.61371,-0.61371,-0.40131,-0.80228,0.44367,0.44367,-2.5073,0.7059,-2.6883,3.7433,3225.1844,1.082225023,1.502798378,2.878790553,2.878790553,143.616,71.2036,1.69,5.69,6.1,3.72,1.69,3.24,6.36,4.05,29,-0.663547539
